frame_id	case_id	group	frame_kind	element	status	mask_pixels	region_pixels	bbox_x	bbox_y	bbox_width	bbox_height	centroid_x	centroid_y	mean_luma	context_luma	contrast_ratio	target_color	match_mode
station_01_world	station_01	opening	world	route	MEASURED	1147	25600	0	260	640	40	332.928	285.780	0.29003	0.07197	2.78772	82949a	exact
station_01_world	station_01	opening	world	plan_boundary	MEASURED	200	147200	213	45	237	215	301.195	63.550	0.29131	0.05941	3.11948	82949a	exact
station_01_world	station_01	opening	world	lena_silhouette_amber	MEASURED	143	9000	50	258	76	43	98.797	267.238	0.37578	0.08570	3.13772	d29a63	exact
station_01_world	station_01	opening	world	correction_accent	MEASURED	234	12000	565	174	3	78	566.000	212.500	0.27518	0.00559	5.84925	ba625b	oxide_family
station_01_world	station_01	opening	world	state_accent	MEASURED	1188	4000	354	124	18	76	362.487	161.502	0.20551	0.07738	2.00585	6cc4bf	cyan_family
station_01_ui	station_01	opening	ui	route	MEASURED	351	25600	0	260	640	40	189.513	283.866	0.28187	0.02178	4.62310	82949a	exact
station_01_ui	station_01	opening	ui	plan_boundary	MEASURED	923	147200	24	45	592	215	303.251	193.655	0.27998	0.05664	3.09450	82949a	exact
station_01_ui	station_01	opening	ui	lena_silhouette_amber	MEASURED	492	9000	43	252	82	45	58.467	284.687	0.38752	0.06483	3.81017	d29a63	exact
station_01_ui	station_01	opening	ui	correction_accent	MEASURED	192	12000	565	174	3	64	566.000	205.500	0.27875	0.00845	5.62431	ba625b	oxide_family
station_01_ui	station_01	opening	ui	state_accent	MEASURED	1188	4000	354	124	18	76	362.487	161.502	0.20732	0.07807	2.00919	6cc4bf	cyan_family
station_01_ui	station_01	opening	ui	crt_frame	MEASURED	1739	60384	24	238	592	102	262.884	288.213	0.28209	0.02063	4.70154	82949a	exact
station_14_world	station_14	middle_anchor	world	route	MEASURED	1511	25600	0	260	640	30	311.768	278.039	0.29204	0.06844	2.88788	82949a	exact
station_14_world	station_14	middle_anchor	world	plan_boundary	MEASURED	555	147200	124	194	438	66	293.295	234.726	0.25902	0.03927	3.46174	82949a	exact
station_14_world	station_14	middle_anchor	world	lena_silhouette_amber	MEASURED	38	9000	40	264	8	21	43.289	272.263	0.37203	0.04973	4.23178	d29a63	exact
station_14_world	station_14	middle_anchor	world	correction_accent	MEASURED	223	20700	253	96	20	176	268.179	156.892	0.13049	0.04841	1.83408	ba625b	oxide_family
station_14_world	station_14	middle_anchor	world	state_accent	MEASURED	112	5500	459	259	71	7	508.000	262.857	0.45453	0.03587	5.87559	d29a63	amber_family
station_22_world	station_22	middle_yield	world	route	MEASURED	3451	25600	0	260	640	30	362.992	272.099	0.30770	0.06663	3.06694	82949a	exact
station_22_world	station_22	middle_yield	world	plan_boundary	MEASURED	14089	147200	296	42	203	218	335.190	161.809	0.32602	0.08429	2.80006	82949a	exact
station_22_world	station_22	middle_yield	world	lena_silhouette_amber	MEASURED	36	9000	45	264	8	21	48.000	272.833	0.37175	0.04681	4.35639	d29a63	exact
station_22_world	station_22	middle_yield	world	correction_accent	MEASURED	1497	57500	330	46	199	239	439.510	102.554	0.25764	0.20012	1.22994	ba625b	oxide_family
station_22_world	station_22	middle_yield	world	state_accent	MEASURED	440	12150	300	85	220	4	409.500	86.500	0.39555	0.24338	1.51866	d29a63	amber_family
station_22_ui	station_22	middle_yield	ui	route	MEASURED	350	25600	0	260	640	40	189.709	279.500	0.28370	0.02368	4.52902	82949a	exact
station_22_ui	station_22	middle_yield	ui	plan_boundary	MEASURED	13181	147200	24	42	592	218	329.054	151.617	0.32575	0.07894	2.91420	82949a	exact
station_22_ui	station_22	middle_yield	ui	lena_silhouette_amber	MEASURED	492	9000	43	252	82	45	58.467	284.687	0.38748	0.05338	4.23162	d29a63	exact
station_22_ui	station_22	middle_yield	ui	correction_accent	MEASURED	1311	57500	330	46	199	192	427.940	79.809	0.25212	0.17378	1.35011	ba625b	oxide_family
station_22_ui	station_22	middle_yield	ui	state_accent	MEASURED	440	12150	300	85	220	4	409.500	86.500	0.38730	0.23842	1.51617	d29a63	amber_family
