scene	mode	step	phase	frame_interval_ms	time_process_ms	time_physics_ms	canvas_items	canvas_primitives	canvas_draw_calls	render_cpu_ms	render_gpu_ms	frame_setup_cpu_ms
station_02	full_world	2	idle	1.539	380.488	1.06	102.0	752.0	72.0	0.56800001859665	0.48899999260902	0.006
station_02	full_world	3	idle	1.615	380.488	1.06	102.0	752.0	72.0	0.53299999237061	0.52300000190735	0.008
station_02	full_world	4	idle	1.809	380.488	1.06	102.0	752.0	72.0	0.56999999284744	0.51999998092651	0.007
station_02	full_world	5	idle	7.64	380.488	1.06	102.0	752.0	72.0	0.5789999961853	0.48199999332428	0.011
station_02	full_world	6	idle	2.054	380.488	1.06	102.0	752.0	72.0	0.52999997138977	0.52799999713898	0.01
station_02	full_world	7	idle	1.84	380.488	1.06	102.0	752.0	72.0	0.65600001811981	0.59600001573563	0.01
station_02	full_world	8	idle	1.371	380.488	1.06	102.0	752.0	72.0	0.73000001907349	0.56699997186661	0.007
station_02	full_world	9	idle	7.724	380.488	1.06	102.0	752.0	72.0	0.76800000667572	0.54699999094009	0.012
station_02	full_world	10	idle	2.136	380.488	1.06	102.0	752.0	72.0	0.81400001049042	0.5809999704361	0.009
station_02	full_world	11	idle	1.471	380.488	1.06	102.0	752.0	72.0	0.84600001573563	0.6259999871254	0.006
station_02	full_world	12	idle	1.261	380.488	1.06	102.0	752.0	72.0	0.80400002002716	9.52299976348877	0.006
station_02	full_world	13	idle	1.237	380.488	1.06	102.0	752.0	72.0	0.65399998426437	0.51999998092651	0.006
station_02	full_world	14	idle	1.221	380.488	1.06	102.0	752.0	72.0	0.59399998188019	0.59500002861023	0.005
station_02	full_world	15	idle	1.233	380.488	1.06	102.0	752.0	72.0	0.77600002288818	0.71899998188019	0.005
station_02	full_world	16	idle	1.211	380.488	1.06	102.0	752.0	72.0	0.68000000715256	0.55199998617172	0.006
station_02	full_world	17	idle	1.534	380.488	1.06	102.0	752.0	72.0	0.7059999704361	0.52200001478195	0.007
station_02	full_world	18	idle	1.914	380.488	1.06	102.0	752.0	72.0	0.58600002527237	0.51800000667572	0.008
station_02	full_world	19	idle	1.311	380.488	1.06	102.0	752.0	72.0	0.55199998617172	0.53500002622604	0.006
station_02	full_world	20	idle	1.217	380.488	1.06	102.0	752.0	72.0	0.55500000715256	0.51099997758865	0.005
station_02	full_world	21	idle	1.318	380.488	1.06	102.0	752.0	72.0	0.55500000715256	0.61599999666214	0.006
