scene	frame_kind	mode	cycle_frames	frame_interval_ms_status	frame_interval_ms_count	frame_interval_ms_mean	frame_interval_ms_median	frame_interval_ms_p95	frame_interval_ms_max	time_process_ms_status	time_process_ms_count	time_process_ms_mean	time_process_ms_median	time_process_ms_p95	time_process_ms_max	time_physics_ms_status	time_physics_ms_count	time_physics_ms_mean	time_physics_ms_median	time_physics_ms_p95	time_physics_ms_max	canvas_items_status	canvas_items_count	canvas_items_mean	canvas_items_median	canvas_items_p95	canvas_items_max	canvas_primitives_status	canvas_primitives_count	canvas_primitives_mean	canvas_primitives_median	canvas_primitives_p95	canvas_primitives_max	canvas_draw_calls_status	canvas_draw_calls_count	canvas_draw_calls_mean	canvas_draw_calls_median	canvas_draw_calls_p95	canvas_draw_calls_max	render_cpu_ms_status	render_cpu_ms_count	render_cpu_ms_mean	render_cpu_ms_median	render_cpu_ms_p95	render_cpu_ms_max	render_gpu_ms_status	render_gpu_ms_count	render_gpu_ms_mean	render_gpu_ms_median	render_gpu_ms_p95	render_gpu_ms_max	frame_setup_cpu_ms_status	frame_setup_cpu_ms_count	frame_setup_cpu_ms_mean	frame_setup_cpu_ms_median	frame_setup_cpu_ms_p95	frame_setup_cpu_ms_max
station_01	world	full_world		available	118	2.60189830508475	1.982	6.969	14.212	available	118	414.529	414.529	414.529	414.529	available	118	1.156	1.156	1.156	1.156	available	118	157.0	157.0	157.0	157.0	available	118	1636.0	1636.0	1636.0	1636.0	available	118	98.0	98.0	98.0	98.0	available	118	0.78928813439305	0.73900002241135	1.08899998664856	1.3309999704361	available	118	0.69769491482589	0.59399998188019	0.73699998855591	9.7810001373291	available	118	0.00728813559322	0.007	0.011	0.017
station_01	world	no_player_and_shadow		available	118	2.47809322033898	1.947	5.596	16.282	available	118	414.529	414.529	414.529	414.529	available	118	1.156	1.156	1.156	1.156	available	118	137.0	137.0	137.0	137.0	available	118	1508.0	1508.0	1508.0	1508.0	available	118	81.0	81.0	81.0	81.0	available	118	0.79483050865642	0.71399998664856	1.18700003623962	1.43599998950958	available	118	0.82966949727576	0.58799999952316	0.81000000238419	18.9150009155273	available	118	0.00794915254237	0.007	0.012	0.02
station_01	world_plus_crt	full_world_plus_crt		available	118	2.3555	1.994	3.411	7.97	available	118	17.583	17.583	17.583	17.583	available	118	0.503	0.503	0.503	0.503	available	118	181.0	181.0	181.0	181.0	available	118	2110.0	2110.0	2110.0	2110.0	available	118	103.0	103.0	103.0	103.0	available	118	0.89144068198689	0.82200002670288	1.25600004196167	1.51300001144409	available	118	1.11258474143885	0.70899999141693	0.91799998283386	19.8229999542236	available	118	0.00729661016949	0.007	0.01	0.011
station_02	world	full_world		available	118	2.3033813559322	1.515	7.836	17.445	available	118	50.4425423728814	17.583	294.542	294.542	available	118	0.5416779661017	0.503	0.829	0.829	available	118	102.0	102.0	102.0	102.0	available	118	752.0	752.0	752.0	752.0	available	118	72.0	72.0	72.0	72.0	available	118	0.68311016943495	0.65299999713898	0.94199997186661	1.24300003051758	available	118	0.87532202419588	0.61699998378754	1.04700005054474	10.0629997253418	available	118	0.00763559322034	0.007	0.013	0.029
station_02	world	no_player_and_shadow		available	118	1.86107627118644	1.287	8.067	9.008	available	118	294.542000000001	294.542	294.542	294.542	available	118	0.829	0.829	0.829	0.829	available	118	80.0	80.0	80.0	80.0	available	118	596.0	596.0	596.0	596.0	available	118	53.0	53.0	53.0	53.0	available	118	0.61490678004289	0.56000000238419	0.875	1.00800001621246	available	118	0.98293220794807	0.55800002813339	1.72099995613098	10.414999961853	available	118	0.007	0.007	0.011	0.013
station_14	world	full_world		available	118	3.25847457627119	2.668	7.932	10.63	available	118	406.678999999999	406.679	406.679	406.679	available	118	0.882	0.882	0.882	0.882	available	118	208.0	208.0	208.0	208.0	available	118	2556.0	2556.0	2556.0	2556.0	available	118	117.0	117.0	117.0	117.0	available	118	0.98159322344651	0.92900002002716	1.43900001049042	1.98800003528595	available	118	1.14538981601343	0.70899999141693	1.82799994945526	11.2469997406006	available	118	0.00989830508475	0.01	0.015	0.028
station_14	world	no_player_and_shadow		available	118	3.56303389830509	2.775	8.142	17.353	available	118	370.3845	406.679	406.679	406.679	available	118	0.84098305084746	0.882	0.882	0.882	available	118	187.0	187.0	187.0	187.0	available	118	2392.0	2392.0	2392.0	2392.0	available	118	99.0	99.0	99.0	99.0	available	118	0.91322033839711	0.86000001430511	1.32599997520447	1.74800002574921	available	118	1.13998303575031	0.69300001859665	1.00999999046326	21.3139991760254	available	118	0.00878813559322	0.008	0.013	0.043
station_22	world	full_world		available	118	2.95878813559322	2.321	6.932	15.887	available	118	17.338	17.338	17.338	17.338	available	118	0.442	0.442	0.442	0.442	available	118	152.372881355932	152.0	153.0	153.0	available	118	1558.74576271186	1558.0	1560.0	1560.0	available	118	105.0	105.0	105.0	105.0	available	118	0.85918644020113	0.80800002813339	1.21300005912781	1.67499995231628	available	118	0.98533049680419	0.73000001907349	0.91699999570847	20.4669990539551	available	118	0.00869491525424	0.008	0.014	0.023
station_22	world	no_player_and_shadow		available	118	2.72050847457627	2.108	6.872	16.596	available	118	355.842	355.842	355.842	355.842	available	118	0.826	0.826	0.826	0.826	available	118	131.389830508475	131.0	132.0	132.0	available	118	1394.77966101695	1394.0	1396.0	1396.0	available	118	87.0	87.0	87.0	87.0	available	118	0.79596610038967	0.74199998378754	1.11899995803833	1.2059999704361	available	118	0.93155084626149	0.69199997186661	0.80599999427795	19.1569995880127	available	118	0.00796610169492	0.007	0.012	0.037
station_38	world	full_world		available	118	3.23982203389831	2.27	9.107	19.887	available	118	358.810813559322	358.862	358.862	358.862	available	118	1.14057627118644	1.146	1.146	1.146	available	118	163.0	163.0	163.0	163.0	available	118	1536.0	1536.0	1536.0	1536.0	available	118	105.0	105.0	105.0	105.0	available	118	0.85211864467395	0.78200000524521	1.27499997615814	1.66700005531311	available	118	1.60622882186356	0.75300002098083	11.5570001602173	22.9309997558594	available	118	0.00900847457627	0.008	0.013	0.056
