component	metric	with_mean	without_mean	delta_mean	with_p95	without_p95	delta_p95	with_status	without_status
prototype_body_draw_including_builtin_floor_shadow	frame_interval_ms	2.06181651376147	1.60672018348624	0.45509633027523	5.098	2.202	2.896	available	available
prototype_body_draw_including_builtin_floor_shadow	time_process_ms	41.0589587155961	14.7130000000001	26.3459587155961	188.756	14.713	174.043	available	available
prototype_body_draw_including_builtin_floor_shadow	time_physics_ms	1.37960550458716	1.379	0.00060550458716	1.383	1.379	0.004	available	available
prototype_body_draw_including_builtin_floor_shadow	canvas_items	107.348623853211	83.1376146788991	24.2110091743119	118.0	98.0	20.0	available	available
prototype_body_draw_including_builtin_floor_shadow	canvas_primitives	782.788990825688	621.100917431193	161.688073394495	868.0	740.0	128.0	available	available
prototype_body_draw_including_builtin_floor_shadow	canvas_draw_calls	71.2247706422018	53.5229357798165	17.7018348623853	73.0	56.0	17.0	available	available
prototype_body_draw_including_builtin_floor_shadow	render_cpu_ms	0.63551834963877	0.53294036749306	0.10257798214571	1.06400001049042	0.783999979496	0.28000003099442	available	available
prototype_body_draw_including_builtin_floor_shadow	render_gpu_ms	0.87356880648967	0.79475229103631	0.07881651545336	1.70000004768372	1.22000002861023	0.48000001907349	available	available
prototype_body_draw_including_builtin_floor_shadow	frame_setup_cpu_ms	0.00675688073394	0.0064128440367	0.00034403669725	0.013	0.012	0.001	available	available
discontinuous_shadow_draw	frame_interval_ms	2.16634403669725	2.06181651376147	0.10452752293578	5.105	5.098	0.007	available	available
discontinuous_shadow_draw	time_process_ms	188.756000000001	41.0589587155961	147.697041284405	188.756	188.756	0.0	available	available
discontinuous_shadow_draw	time_physics_ms	1.383	1.37960550458716	0.00339449541284	1.383	1.383	0.0	available	available
discontinuous_shadow_draw	canvas_items	108.935779816514	107.348623853211	1.58715596330275	120.0	118.0	2.0	available	available
discontinuous_shadow_draw	canvas_primitives	807.48623853211	782.788990825688	24.697247706422	896.0	868.0	28.0	available	available
discontinuous_shadow_draw	canvas_draw_calls	73.1559633027523	71.2247706422018	1.93119266055047	75.0	73.0	2.0	available	available
discontinuous_shadow_draw	render_cpu_ms	0.67232568685068	0.63551834963877	0.03680733721191	1.0	1.06400001049042	-0.06400001049042	available	available
discontinuous_shadow_draw	render_gpu_ms	0.79121559954018	0.87356880648967	-0.0823532069495	1.32000005245209	1.70000004768372	-0.37999999523163	available	available
discontinuous_shadow_draw	frame_setup_cpu_ms	0.00723853211009	0.00675688073394	0.00048165137615	0.013	0.013	0.0	available	available
player_authored_dust_effect	frame_interval_ms	2.15150917431193	2.16634403669725	-0.01483486238532	4.49	5.105	-0.615	available	available
player_authored_dust_effect	time_process_ms	207.790266055046	188.756000000001	19.0342660550454	220.675	188.756	31.919	available	available
player_authored_dust_effect	time_physics_ms	0.98047706422018	1.383	-0.40252293577982	1.383	1.383	0.0	available	available
player_authored_dust_effect	canvas_items	109.619266055046	108.935779816514	0.68348623853211	121.0	120.0	1.0	available	available
player_authored_dust_effect	canvas_primitives	815.908256880734	807.48623853211	8.42201834862385	932.0	896.0	36.0	available	available
player_authored_dust_effect	canvas_draw_calls	73.3577981651376	73.1559633027523	0.20183486238531	76.0	75.0	1.0	available	available
player_authored_dust_effect	render_cpu_ms	0.63123853354279	0.67232568685068	-0.04108715330789	0.93400001525879	1.0	-0.06599998474121	available	available
player_authored_dust_effect	render_gpu_ms	0.85386238253992	0.79121559954018	0.06264678299974	1.59300005435944	1.32000005245209	0.27300000190735	available	available
player_authored_dust_effect	frame_setup_cpu_ms	0.0081376146789	0.00723853211009	0.00089908256881	0.015	0.013	0.002	available	available
complete_protagonist_visual_layer	frame_interval_ms	2.15150917431193	1.60672018348624	0.54478899082569	4.49	2.202	2.288	available	available
complete_protagonist_visual_layer	time_process_ms	207.790266055046	14.7130000000001	193.077266055046	220.675	14.713	205.962	available	available
complete_protagonist_visual_layer	time_physics_ms	0.98047706422018	1.379	-0.39852293577981	1.383	1.379	0.004	available	available
complete_protagonist_visual_layer	canvas_items	109.619266055046	83.1376146788991	26.4816513761468	121.0	98.0	23.0	available	available
complete_protagonist_visual_layer	canvas_primitives	815.908256880734	621.100917431193	194.807339449541	932.0	740.0	192.0	available	available
complete_protagonist_visual_layer	canvas_draw_calls	73.3577981651376	53.5229357798165	19.8348623853211	76.0	56.0	20.0	available	available
complete_protagonist_visual_layer	render_cpu_ms	0.63123853354279	0.53294036749306	0.09829816604973	0.93400001525879	0.783999979496	0.15000003576279	available	available
complete_protagonist_visual_layer	render_gpu_ms	0.85386238253992	0.79475229103631	0.05911009150361	1.59300005435944	1.22000002861023	0.37300002574921	available	available
complete_protagonist_visual_layer	frame_setup_cpu_ms	0.0081376146789	0.0064128440367	0.0017247706422	0.015	0.012	0.003	available	available
