scene	mode	step	phase	frame_interval_ms	time_process_ms	time_physics_ms	canvas_items	canvas_primitives	canvas_draw_calls	render_cpu_ms	render_gpu_ms	frame_setup_cpu_ms
station_02	full_world	2	idle	8.368	220.675	0.708	102.0	752.0	72.0	0.49099999666214	0.93400001525879	0.01
station_02	full_world	3	idle	1.848	220.675	0.708	102.0	752.0	72.0	0.27300000190735	0.54299998283386	0.012
station_02	full_world	4	idle	1.678	220.675	0.708	102.0	752.0	72.0	0.61500000953674	0.58600002527237	0.007
station_02	full_world	5	idle	1.265	220.675	0.708	102.0	752.0	72.0	0.37900000810623	8.59799957275391	0.006
station_02	full_world	6	idle	0.936	220.675	0.708	102.0	752.0	72.0	0.37799999117851	0.77700001001358	0.004
station_02	full_world	7	idle	1.163	220.675	0.708	102.0	752.0	72.0	0.45899999141693	0.74400001764297	0.005
station_02	full_world	8	idle	1.703	220.675	0.708	102.0	752.0	72.0	0.91699999570847	0.70800000429153	0.005
station_02	full_world	9	idle	1.155	220.675	0.708	102.0	752.0	72.0	0.783999979496	0.54100000858307	0.006
station_02	full_world	10	idle	1.184	220.675	0.708	102.0	752.0	72.0	0.62099999189377	0.79100000858307	0.004
station_02	full_world	11	idle	1.23	220.675	0.708	102.0	752.0	72.0	0.46399998664856	1.00399994850159	0.006
station_02	full_world	12	idle	1.352	220.675	0.708	102.0	752.0	72.0	0.40700000524521	0.80699998140335	0.006
station_02	full_world	13	idle	2.207	220.675	0.708	102.0	752.0	72.0	0.49099999666214	0.72100001573563	0.012
station_02	full_world	14	idle	1.971	220.675	0.708	102.0	752.0	72.0	0.71799999475479	0.54699999094009	0.007
station_02	full_world	15	idle	1.351	220.675	0.708	102.0	752.0	72.0	0.48800000548363	1.39900004863739	0.006
station_02	full_world	16	idle	1.285	220.675	0.708	102.0	752.0	72.0	0.28000000119209	0.74400001764297	0.005
station_02	full_world	17	idle	1.394	220.675	0.708	102.0	752.0	72.0	0.56400001049042	0.81099998950958	0.005
station_02	full_world	18	idle	0.928	220.675	0.708	102.0	752.0	72.0	0.53799998760223	0.85000002384186	0.003
station_02	full_world	19	idle	1.4	220.675	0.708	102.0	752.0	72.0	0.91500002145767	0.75199997425079	0.002
station_02	full_world	20	idle	3.378	220.675	0.708	102.0	752.0	72.0	1.02499997615814	0.58700001239777	0.009
station_02	full_world	21	idle	1.896	220.675	0.708	102.0	752.0	72.0	0.55400002002716	0.60399997234344	0.007
station_02	full_world	22	idle	4.055	220.675	0.708	102.0	752.0	72.0	0.63200002908707	0.69700002670288	0.015
station_02	full_world	23	idle	2.232	220.675	0.708	102.0	752.0	72.0	0.57499998807907	0.82800000905991	0.011
station_02	full_world	24	idle	1.445	220.675	0.708	102.0	752.0	72.0	0.28600001335144	0.70999997854233	0.009
station_02	full_world	25	idle	1.582	220.675	0.708	102.0	752.0	72.0	0.68300002813339	0.77200001478195	0.008
station_02	full_world	26	idle	1.146	220.675	0.708	102.0	752.0	72.0	0.69400000572205	0.63499999046326	0.007
station_02	full_world	27	idle	0.992	220.675	0.708	102.0	752.0	72.0	0.54900002479553	0.58899998664856	0.003
station_02	full_world	28	idle	1.218	220.675	0.708	102.0	752.0	72.0	0.7509999871254	0.66200000047684	0.006
station_02	full_world	29	idle	1.183	220.675	0.708	102.0	752.0	72.0	0.91000002622604	0.65100002288818	0.007
station_02	full_world	30	walk_right	1.628	220.675	0.708	102.0	752.0	72.0	0.51899999380112	0.86500000953674	0.011
station_02	full_world	31	walk_right	1.929	220.675	0.708	102.0	752.0	72.0	0.71700000762939	0.57499998807907	0.011
station_02	full_world	32	walk_right	3.005	220.675	0.708	102.0	752.0	72.0	0.46999999880791	0.80099999904633	0.009
station_02	full_world	33	walk_right	2.384	220.675	0.708	102.0	752.0	72.0	0.43900001049042	0.44800001382828	0.01
station_02	full_world	34	walk_right	1.338	220.675	0.708	102.0	752.0	72.0	0.51700001955032	0.4839999973774	0.004
station_02	full_world	35	walk_right	1.655	220.675	0.708	102.0	752.0	72.0	0.58300000429153	1.13399994373322	0.011
station_02	full_world	36	walk_right	1.07	220.675	0.708	102.0	752.0	72.0	0.77600002288818	0.71499997377396	0.006
station_02	full_world	37	walk_right	1.17	220.675	0.708	102.0	752.0	72.0	0.7039999961853	2.38100004196167	0.005
station_02	full_world	38	walk_right	1.826	220.675	0.708	102.0	752.0	72.0	0.97100001573563	1.40299999713898	0.008
station_02	full_world	39	walk_right	1.841	220.675	0.708	102.0	752.0	72.0	0.92900002002716	1.39100003242493	0.012
station_02	full_world	40	walk_right	1.071	220.675	0.708	102.0	752.0	72.0	0.36599999666214	0.54699999094009	0.009
station_02	full_world	41	walk_right	0.907	220.675	0.708	102.0	752.0	72.0	0.70099997520447	0.43999999761581	0.004
station_02	full_world	42	walk_right	4.332	220.675	0.708	102.0	752.0	72.0	0.37999999523163	0.78299999237061	0.011
station_02	full_world	43	walk_right	1.767	220.675	0.708	102.0	752.0	72.0	0.50900000333786	0.69999998807907	0.009
station_02	full_world	44	walk_right	13.449	220.675	0.708	102.0	752.0	72.0	0.73500001430511	0.72799998521805	0.122
station_02	full_world	45	walk_right	3.691	220.675	0.708	102.0	752.0	72.0	0.71200001239777	1.59300005435944	0.007
station_02	full_world	46	walk_right	1.921	220.675	0.708	102.0	752.0	72.0	0.35199999809265	0.67599999904633	0.009
station_02	full_world	47	walk_right	1.765	220.675	0.708	102.0	752.0	72.0	0.36599999666214	0.70800000429153	0.005
station_02	full_world	48	walk_right	1.497	220.675	0.708	102.0	752.0	72.0	1.01699995994568	0.69099998474121	0.005
station_02	full_world	49	walk_right	1.197	220.675	0.708	102.0	752.0	72.0	0.75999999046326	1.00600004196167	0.005
station_02	full_world	50	walk_right	1.431	220.675	0.708	102.0	752.0	72.0	0.81499999761581	0.7039999961853	0.004
station_02	full_world	51	walk_right	1.124	220.675	0.708	102.0	752.0	72.0	0.89999997615814	0.7039999961853	0.009
station_02	full_world	52	walk_right	0.739	220.675	0.708	102.0	752.0	72.0	0.84899997711182	0.63300001621246	0.003
station_02	full_world	53	walk_right	2.496	220.675	0.708	102.0	752.0	72.0	0.45100000500679	0.52899998426437	0.005
station_02	full_world	54	walk_right	1.458	220.675	0.708	102.0	752.0	72.0	0.74500000476837	0.41999998688698	0.012
station_02	full_world	55	walk_right	1.47	220.675	0.708	102.0	752.0	72.0	0.38199999928474	0.56300002336502	0.006
station_02	full_world	56	walk_right	8.665	220.675	0.708	102.0	752.0	72.0	0.82800000905991	0.42800000309944	0.011
