scene	frame_kind	mode	cycle_frames	frame_interval_ms_status	frame_interval_ms_count	frame_interval_ms_mean	frame_interval_ms_median	frame_interval_ms_p95	frame_interval_ms_max	time_process_ms_status	time_process_ms_count	time_process_ms_mean	time_process_ms_median	time_process_ms_p95	time_process_ms_max	time_physics_ms_status	time_physics_ms_count	time_physics_ms_mean	time_physics_ms_median	time_physics_ms_p95	time_physics_ms_max	canvas_items_status	canvas_items_count	canvas_items_mean	canvas_items_median	canvas_items_p95	canvas_items_max	canvas_primitives_status	canvas_primitives_count	canvas_primitives_mean	canvas_primitives_median	canvas_primitives_p95	canvas_primitives_max	canvas_draw_calls_status	canvas_draw_calls_count	canvas_draw_calls_mean	canvas_draw_calls_median	canvas_draw_calls_p95	canvas_draw_calls_max	render_cpu_ms_status	render_cpu_ms_count	render_cpu_ms_mean	render_cpu_ms_median	render_cpu_ms_p95	render_cpu_ms_max	render_gpu_ms_status	render_gpu_ms_count	render_gpu_ms_mean	render_gpu_ms_median	render_gpu_ms_p95	render_gpu_ms_max	frame_setup_cpu_ms_status	frame_setup_cpu_ms_count	frame_setup_cpu_ms_mean	frame_setup_cpu_ms_median	frame_setup_cpu_ms_p95	frame_setup_cpu_ms_max
station_01	world	full_world		available	118	2.59382203389831	2.02	6.219	13.929	available	118	290.920999999999	290.921	290.921	290.921	available	118	1.323	1.323	1.323	1.323	available	118	157.0	157.0	157.0	157.0	available	118	1636.0	1636.0	1636.0	1636.0	available	118	98.0	98.0	98.0	98.0	available	118	0.77955084710808	0.78899997472763	1.13800001144409	1.32799994945526	available	118	0.98908474864596	0.65499997138977	1.59899997711182	10.2030000686646	available	118	0.00753389830508	0.007	0.013	0.03
station_01	world	no_player_and_shadow		available	118	2.18873728813559	1.664	7.146	12.753	available	118	215.566999999999	215.567	215.567	215.567	available	118	0.776	0.776	0.776	0.776	available	118	137.0	137.0	137.0	137.0	available	118	1508.0	1508.0	1508.0	1508.0	available	118	81.0	81.0	81.0	81.0	available	118	0.62905084556442	0.59200000762939	1.02300000190735	1.27699995040894	available	118	1.12879661028668	0.68199998140335	2.15000009536743	15.4300003051758	available	118	0.00659322033898	0.006	0.012	0.039
station_01	world_plus_crt	full_world_plus_crt		available	118	2.7958813559322	2.129	7.795	15.594	available	118	215.566999999999	215.567	215.567	215.567	available	118	0.776	0.776	0.776	0.776	available	118	181.0	181.0	181.0	181.0	available	118	2110.0	2110.0	2110.0	2110.0	available	118	103.0	103.0	103.0	103.0	available	118	0.8531355918464	0.83399999141693	1.21700000762939	1.85399997234344	available	118	1.04879660475052	0.68599998950958	1.95799994468689	10.5520000457764	available	118	0.00888983050847	0.008	0.021	0.033
station_02	world	full_world		available	118	1.83000847457627	1.552	3.069	11.656	available	118	196.429	196.429	196.429	196.429	available	118	0.87	0.87	0.87	0.87	available	118	102.0	102.0	102.0	102.0	available	118	752.0	752.0	752.0	752.0	available	118	72.0	72.0	72.0	72.0	available	118	0.62155085107533	0.60600000619888	0.966000020504	1.02600002288818	available	118	0.84749152170399	0.60299998521805	1.37999999523163	15.75	available	118	0.00770338983051	0.006	0.02	0.042
station_02	world	no_player_and_shadow		available	118	1.90119491525424	1.341	5.74	14.501	available	118	196.429	196.429	196.429	196.429	available	118	0.87	0.87	0.87	0.87	available	118	80.0	80.0	80.0	80.0	available	118	596.0	596.0	596.0	596.0	available	118	53.0	53.0	53.0	53.0	available	118	0.57586440620786	0.52999997138977	0.85799998044968	1.23500001430511	available	118	0.81566948658329	0.55699998140335	1.63800001144409	8.27999973297119	available	118	0.00771186440678	0.006	0.018	0.036
station_14	world	full_world		available	118	3.08886440677966	2.489	6.308	14.243	available	118	260.982	260.982	260.982	260.982	available	118	0.801	0.801	0.801	0.801	available	118	208.0	208.0	208.0	208.0	available	118	2556.0	2556.0	2556.0	2556.0	available	118	117.0	117.0	117.0	117.0	available	118	0.86411864802999	0.82400000095367	1.39199995994568	1.9099999666214	available	118	1.41022881234096	0.69199997186661	8.99699974060059	15.9689998626709	available	118	0.00907627118644	0.008	0.017	0.025
station_14	world	no_player_and_shadow		available	118	2.77463559322034	2.415	5.715	7.256	available	118	190.330288135593	260.982	260.982	260.982	available	118	0.75749152542373	0.801	0.801	0.801	available	118	187.0	187.0	187.0	187.0	available	118	2392.0	2392.0	2392.0	2392.0	available	118	99.0	99.0	99.0	99.0	available	118	0.8083813584457	0.75400000810623	1.47899997234344	1.78299999237061	available	118	1.11564407181942	0.64499998092651	2.81599998474121	11.1859998703003	available	118	0.00873728813559	0.007	0.016	0.043
station_22	world	full_world		available	118	2.65457627118644	2.236	5.223	13.933	available	118	15.779	15.779	15.779	15.779	available	118	0.65	0.65	0.65	0.65	available	118	152.508474576271	153.0	153.0	153.0	available	118	1559.01694915254	1560.0	1560.0	1560.0	available	118	105.0	105.0	105.0	105.0	available	118	0.77824576274823	0.75	1.21000003814697	1.89999997615814	available	118	0.89727119015435	0.69499999284744	1.45799994468689	8.79800033569336	available	118	0.00794915254237	0.007	0.015	0.027
station_22	world	no_player_and_shadow		available	118	2.26372881355932	1.867	4.905	15.052	available	118	196.943127118644	231.712	231.712	231.712	available	118	0.93022033898305	0.984	0.984	0.984	available	118	131.525423728814	132.0	132.0	132.0	available	118	1395.05084745763	1396.0	1396.0	1396.0	available	118	87.0	87.0	87.0	87.0	available	118	0.6809660996926	0.65799999237061	1.06400001049042	1.56099998950958	available	118	1.06927966061285	0.68699997663498	2.09599995613098	17.5179996490479	available	118	0.00700847457627	0.006	0.014	0.03
station_38	world	full_world		available	118	2.35447457627119	2.006	4.183	7.36	available	118	231.712	231.712	231.712	231.712	available	118	0.984	0.984	0.984	0.984	available	118	163.0	163.0	163.0	163.0	available	118	1536.0	1536.0	1536.0	1536.0	available	118	105.0	105.0	105.0	105.0	available	118	0.70644915609036	0.66699999570847	1.11600005626678	1.58000004291534	available	118	1.07358474574857	0.71899998188019	2.29999995231628	10.1529998779297	available	118	0.00756779661017	0.007	0.013	0.039
