scene	path	campaign_space	scene_kind	status	direct_frame_measurement	profiles	profile_count	scripted_nodes	procedural_draw_nodes	active_process_nodes	active_physics_nodes	animated_or_effect_nodes	cpuparticles_2d	point_lights_2d	animation_players	animated_sprites_2d	prototype_players	discontinuous_shadows	crt_dialogue_boxes	vector_stage_environments	atmosphere_rigs	opening_dialogue_cues	shared_element_nodes	script_paths	type_counts
station_01	res://scenes/levels/station_01.tscn	1	station	inventory_only	true	[{ "station_number": 1, "stage_seed": 1, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	14	10	11	2	25	10	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_01.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 7, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "AudioStreamPlayer": 4, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 10, "AudioStreamPlayer2D": 9, "CollisionShape2D": 16, "Area2D": 8, "AnimatableBody2D": 1, "StaticBody2D": 6, "Node": 1, "CanvasLayer": 1, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_02	res://scenes/levels/station_02.tscn	2	station	inventory_only	true	[{ "station_number": 2, "stage_seed": 2, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	11	7	7	3	18	6	3	0	0	1	1	1	1	1	1	5	{ "res://scripts/levels/station_02.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/player/discontinuous_shadow.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 3, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 6, "AudioStreamPlayer": 7, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 6, "AudioStreamPlayer2D": 5, "CollisionShape2D": 11, "Area2D": 4, "AnimatableBody2D": 1, "StaticBody2D": 5, "Node": 1, "CanvasLayer": 1, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_03	res://scenes/levels/station_03.tscn	3	station	inventory_only	false	[{ "station_number": 3, "stage_seed": 3, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	11	7	8	2	19	7	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_03.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 4, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "AudioStreamPlayer": 4, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 7, "AudioStreamPlayer2D": 6, "CollisionShape2D": 12, "Area2D": 5, "AnimatableBody2D": 1, "StaticBody2D": 5, "Node": 1, "CanvasLayer": 1, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_04	res://scenes/levels/station_04.tscn	4	station	inventory_only	false	[{ "station_number": 4, "stage_seed": 4, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	10	6	7	3	17	6	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_04.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 3, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 6, "AudioStreamPlayer": 7, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 6, "AudioStreamPlayer2D": 5, "CollisionShape2D": 11, "Area2D": 4, "AnimatableBody2D": 1, "StaticBody2D": 5, "Node": 1, "CanvasLayer": 1, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_05	res://scenes/levels/station_05.tscn	5	station	inventory_only	false	[{ "station_number": 5, "stage_seed": 5, "stage_variant": "", "world_size": "(1280.0, 360.0)" }]	1	11	7	8	2	21	8	4	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_05.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 4, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "AudioStreamPlayer": 6, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 6, "CollisionShape2D": 9, "Area2D": 5, "StaticBody2D": 3, "Node": 1, "CanvasLayer": 1, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 4 }
station_06	res://scenes/levels/station_06.tscn	6	station	inventory_only	false	[{ "station_number": 6, "stage_seed": 6, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	11	7	8	2	19	7	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_06.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 4, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "AudioStreamPlayer": 9, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 7, "AudioStreamPlayer2D": 6, "CollisionShape2D": 10, "Area2D": 5, "AnimatableBody2D": 1, "StaticBody2D": 3, "Node": 1, "CanvasLayer": 1, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_07	res://scenes/levels/station_07.tscn	7	station	inventory_only	false	[{ "station_number": 7, "stage_seed": 7, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	3	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_07.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "AudioStreamPlayer": 6, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "CollisionShape2D": 11, "Area2D": 6, "StaticBody2D": 5, "CollisionPolygon2D": 1, "Node": 1, "CanvasLayer": 1, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_08	res://scenes/levels/station_08.tscn	8	station	inventory_only	false	[{ "station_number": 8, "stage_seed": 8, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	15	11	11	4	28	12	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_08.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 7, "res://scripts/interactables/movable_anchorable_prop.gd": 1, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "AudioStreamPlayer": 6, "Camera2D": 1, "CharacterBody2D": 2, "CPUParticles2D": 12, "AudioStreamPlayer2D": 10, "CollisionShape2D": 14, "Area2D": 8, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_09	res://scenes/levels/station_09.tscn	9	station	inventory_only	false	[{ "station_number": 9, "stage_seed": 9, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	13	9	9	3	24	10	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_09.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/interactables/anchorable_object.gd": 1, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "AudioStreamPlayer": 9, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 10, "AudioStreamPlayer2D": 8, "CollisionShape2D": 12, "Area2D": 6, "AnimatableBody2D": 1, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_10	res://scenes/levels/station_10.tscn	10	station	inventory_only	false	[{ "station_number": 10, "stage_seed": 10, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_10.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "AudioStreamPlayer": 7, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "CollisionShape2D": 12, "Area2D": 6, "AnimatableBody2D": 1, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
