asset	character	state	frames	width	height	pivot	foot	seam	interruption	reduced_motion	status
assets\characters\jakub\gesture.png	jakub	gesture	1	64	104	32,96	y=96 contract	NOT_APPLICABLE: single pose	state-machine contract	same pose	PASS
assets\characters\jakub\idle.png	jakub	idle	1	64	104	32,96	y=96 contract	NOT_APPLICABLE: single pose	state-machine contract	same pose	PASS
assets\characters\jakub\listen.png	jakub	listen	1	64	104	32,96	y=96 contract	NOT_APPLICABLE: single pose	state-machine contract	same pose	PASS
assets\characters\jakub\seated.png	jakub	seated	1	64	104	32,96	y=96 contract	NOT_APPLICABLE: single pose	state-machine contract	same pose	PASS
assets\characters\jakub\talk_0.png	jakub	talk_0	1	64	104	32,96	y=96 contract	NOT_APPLICABLE: single pose	state-machine contract	same pose	PASS
assets\characters\jakub\talk_1.png	jakub	talk_1	1	64	104	32,96	y=96 contract	NOT_APPLICABLE: single pose	state-machine contract	same pose	PASS
assets\characters\jakub\turn_away.png	jakub	turn_away	1	64	104	32,96	y=96 contract	NOT_APPLICABLE: single pose	state-machine contract	same pose	PASS
assets\characters\jakub\work.png	jakub	work	1	64	104	32,96	y=96 contract	NOT_APPLICABLE: single pose	state-machine contract	same pose	PASS
assets\characters\lena\board_vehicle_0.png	lena	board_vehicle_0	1	64	104	32,96	y=96 contract	NOT_APPLICABLE: single pose	state-machine contract	timing shortened; fact preserved	PASS
assets\characters\lena\board_vehicle_1.png	lena	board_vehicle_1	1	64	104	32,96	y=96 contract	NOT_APPLICABLE: single pose	state-machine contract	timing shortened; fact preserved	PASS
assets\characters\lena\climb_0.png	lena	climb_0	1	64	104	32,96	y=96 contract	strip-inspected	state-machine contract	timing shortened; fact preserved	PASS
assets\characters\lena\climb_1.png	lena	climb_1	1	64	104	32,96	y=96 contract	strip-inspected	state-machine contract	timing shortened; fact preserved	PASS
assets\characters\lena\climb_back_0.png	lena	climb_back_0	1	64	104	32,96	y=96 contract	strip-inspected	state-machine contract	timing shortened; fact preserved	PASS
assets\characters\lena\climb_back_1.png	lena	climb_back_1	1	64	104	32,96	y=96 contract	strip-inspected	state-machine contract	timing shortened; fact preserved	PASS
assets\characters\lena\climb_back_2.png	lena	climb_back_2	1	64	104	32,96	y=96 contract	strip-inspected	state-machine contract	timing shortened; fact preserved	PASS
assets\characters\lena\climb_back_3.png	lena	climb_back_3	1	64	104	32,96	y=96 contract	strip-inspected	state-machine contract	timing shortened; fact preserved	PASS
assets\characters\lena\enter_door_0.png	lena	enter_door_0	1	64	104	32,96	y=96 contract	NOT_APPLICABLE: single pose	state-machine contract	timing shortened; fact preserved	PASS
