generator	call_status	mix_rate	frames	peak_abs	clipped_samples	dc_offset	loop_mode	seam_delta	status
create_anchor_sound	CALLED	44100	17640	0.472229	0	-0.000456	0	0.002441	PASS
create_unanchor_sound	CALLED	44100	12348	0.542847	0	-0.000062	0	0.000000	PASS
create_correction_pulse_sound	CALLED	44100	24255	0.592926	0	0.001714	0	0.022064	PASS
create_resist_sound	CALLED	44100	18522	0.563751	0	-0.000029	0	0.000916	PASS
create_goal_sound	CALLED	44100	26460	0.590149	0	0.000001	0	0.002686	PASS
create_footstep_linoleum_sound	CALLED	44100	3087	0.231415	0	0.000662	0	0.000092	PASS
create_footstep_metal_sound	CALLED	44100	3969	0.397247	0	0.000125	0	0.001617	PASS
create_land_sound	CALLED	44100	6174	0.352081	0	0.001470	0	0.010315	PASS
create_airlock_seal_sound	CALLED	44100	37485	0.578552	0	0.000054	0	0.000000	PASS
create_memory_resonance_sound	CALLED	44100	28665	0.641876	0	0.000107	0	0.019623	PASS
create_switch_toggle_sound	CALLED	44100	3528	0.377533	0	0.000720	0	0.000092	PASS
create_vacuum_hum_sound	CALLED	44100	22050	0.487000	0	0.004008	0	0.036377	PASS
create_correlation_hum_sound	CALLED	44100	26460	0.518097	0	0.000097	0	0.036560	PASS
create_printer_strip_sound	CALLED	44100	19845	0.259705	0	0.000383	0	0.000488	PASS
create_needle_spike_sound	CALLED	44100	5292	0.471466	0	0.000077	0	0.000336	PASS
create_phone_ring_pulse_sound	CALLED	44100	15434	0.635345	0	-0.000149	0	0.011719	PASS
create_card_reader_beep_sound	CALLED	44100	11466	0.571716	0	0.000030	0	0.000153	PASS
create_fluorescent_hum_sound	CALLED	44100	26460	0.484863	0	0.001934	0	0.035034	PASS
create_camera_click_sound	CALLED	44100	7938	0.602448	0	-0.012712	0	0.000031	PASS
create_turnstile_unlatch_sound	CALLED	44100	9702	0.663391	0	-0.016027	0	0.005798	PASS
create_dialogue_blip_sound	CALLED	44100	2205	0.404785	0	-0.000070	0	0.002228	PASS
create_crosswalk_signal_sound	CALLED	44100	17640	0.440979	0	-0.000064	0	0.000000	PASS
create_rain_asphalt_sound	CALLED	44100	39690	0.474670	0	0.000521	0	0.224182	PASS
create_tram_traction_sound	CALLED	44100	35280	0.625092	0	0.000057	0	0.084106	PASS
create_bus_engine_sound	CALLED	44100	44100	0.566803	0	0.015091	0	0.068451	PASS
create_bus_rain_window_sound	CALLED	44100	37485	0.330994	0	0.000272	0	0.133087	PASS
create_bus_announcement_sound	CALLED	44100	30869	0.476715	0	-0.000010	0	0.027313	PASS
create_bus_door_pneumatic_sound	CALLED	44100	22050	0.442078	0	0.000328	0	0.001740	PASS
create_ring_chime_sound	CALLED	44100	26460	0.579803	0	0.000002	0	0.004333	PASS
create_stair_footstep_sound	CALLED	44100	7938	0.598602	0	0.001207	0	0.006317	PASS
create_apartment_door_sound	CALLED	44100	33075	0.394623	0	0.002241	0	0.007263	PASS
create_dialogue_marta_blip_sound	CALLED	44100	3307	0.498871	0	-0.000000	0	0.000061	PASS
create_stair_timer_switch_sound	CALLED	44100	5292	0.650452	0	0.005963	0	0.001465	PASS
create_parquet_footstep_sound	CALLED	44100	7056	0.509705	0	0.000574	0	0.000977	PASS
create_drawer_lock_unlatch_sound	CALLED	44100	17640	0.457184	0	-0.000016	0	0.000000	PASS
create_paper_rustle_sound	CALLED	44100	19845	0.355042	0	0.000000	0	0.000000	PASS
create_kettle_boil_sound	CALLED	44100	22050	0.516357	0	0.001183	0	0.012604	PASS
create_kettle_whistle_sound	CALLED	44100	28665	0.512939	0	-0.000045	0	0.119781	PASS
create_tile_footstep_sound	CALLED	44100	7938	0.745819	0	-0.002686	0	0.003113	PASS
create_water_pipe_hiss_sound	CALLED	44100	22050	0.545258	0	0.000086	0	0.039246	PASS
create_glass_scratch_sound	CALLED	44100	16758	0.468079	0	-0.000002	0	0.000000	PASS
create_mirror_shimmer_sound	CALLED	44100	26460	0.535950	0	0.000001	0	0.000000	PASS
create_bakelite_bell_sound	CALLED	44100	19845	0.691620	0	-0.000023	0	0.001801	PASS
create_handset_pickup_sound	CALLED	44100	7056	0.730774	0	0.001296	0	0.001709	PASS
create_tape_motor_hum_sound	CALLED	44100	22050	0.555420	0	0.000023	0	0.043274	PASS
