surface	mode	path	driver	width	height	textless	md5	measurement	heuristic
shell_title	pl	reports/pkg_0183/visual/shell_title__pl.png	Windows	640	360	false	bd27f9c4c34dabd8080f5fc44506ec13	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
settings	pl	reports/pkg_0183/visual/settings__pl.png	Windows	640	360	false	50cc2390ee23ecd929d886711b68ffc8	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
shell_title	en	reports/pkg_0183/visual/shell_title__en.png	Windows	640	360	false	830b3bf41088ca7b07db71b5c650d5c6	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
cold_open	initial	reports/pkg_0183/visual/cold_open__initial.png	Windows	640	360	false	05aeaebde19bef280fbd9e5f4f42ba83	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_01	normal	reports/pkg_0183/visual/station_01__normal.png	Windows	640	360	false	89fc5c84c040a8a99747dc57dd06dfe3	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_01	key_object	reports/pkg_0183/visual/station_01__key_object.png	Windows	640	360	false	87c9e697f64938bd9389f10b678f22ef	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_01	interaction	reports/pkg_0183/visual/station_01__interaction.png	Windows	640	360	false	26b8b2aa2fa50aaf1986f166dfe74619	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_01	m3_mono	reports/pkg_0183/visual/station_01__m3_mono.png	Windows	640	360	true	663a47c38f6e85aa2839078256b7f1f8	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
pause	campaign	reports/pkg_0183/visual/pause__campaign.png	Windows	640	360	false	b6b2e5de8a18076a0ec03832677b2138	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_02	normal	reports/pkg_0183/visual/station_02__normal.png	Windows	640	360	false	1d8a57f3563adc67adb62440c5e88b5b	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_02	key_object	reports/pkg_0183/visual/station_02__key_object.png	Windows	640	360	false	5af3cb622880a2df6504336e384c859f	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_02	interaction	reports/pkg_0183/visual/station_02__interaction.png	Windows	640	360	false	40126f394e2c7fc3fb48b328168a111b	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_02	m3_mono	reports/pkg_0183/visual/station_02__m3_mono.png	Windows	640	360	true	54e63d8b275fc4c03a1088929349d4b6	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_03	normal	reports/pkg_0183/visual/station_03__normal.png	Windows	640	360	false	4b0a7420e417b6d1d5de86502eecd248	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_03	key_object	reports/pkg_0183/visual/station_03__key_object.png	Windows	640	360	false	ae0e652e1b5d1aea1459ad7437eca2b4	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_03	interaction	reports/pkg_0183/visual/station_03__interaction.png	Windows	640	360	false	64a629598a824159c7e66f5bce9d1b4a	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_03	m3_mono	reports/pkg_0183/visual/station_03__m3_mono.png	Windows	640	360	true	0722dab3c5fb06ba9b016eb405970007	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_04	normal	reports/pkg_0183/visual/station_04__normal.png	Windows	640	360	false	72d7246c050881745f466649d7bada90	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
