generator	mix_rate	frames	peak_abs	clipped_samples	dc_offset	status
create_anchor_sound	44100	17640	0.472229	0	-0.000456	PASS
create_unanchor_sound	44100	12348	0.542847	0	-0.000062	PASS
create_correction_pulse_sound	44100	24255	0.592926	0	0.001714	PASS
create_resist_sound	44100	18522	0.563751	0	-0.000029	PASS
create_goal_sound	44100	26460	0.590149	0	0.000001	PASS
create_footstep_linoleum_sound	44100	3087	0.231415	0	0.000662	PASS
create_footstep_metal_sound	44100	3969	0.397247	0	0.000125	PASS
create_land_sound	44100	6174	0.352081	0	0.001470	PASS
create_airlock_seal_sound	44100	37485	0.578552	0	0.000054	PASS
create_memory_resonance_sound	44100	28665	0.641876	0	0.000107	PASS
create_switch_toggle_sound	44100	3528	0.377533	0	0.000720	PASS
create_vacuum_hum_sound	44100	22050	0.487000	0	0.004008	PASS
create_correlation_hum_sound	44100	26460	0.518097	0	0.000097	PASS
create_printer_strip_sound	44100	19845	0.259705	0	0.000383	PASS
create_needle_spike_sound	44100	5292	0.471466	0	0.000077	PASS
create_phone_ring_pulse_sound	44100	15434	0.635345	0	-0.000149	PASS
create_card_reader_beep_sound	44100	11466	0.571716	0	0.000030	PASS
create_fluorescent_hum_sound	44100	26460	0.484863	0	0.001934	PASS
create_camera_click_sound	44100	7938	0.602448	0	-0.012712	PASS
create_turnstile_unlatch_sound	44100	9702	0.663391	0	-0.016027	PASS
create_dialogue_blip_sound	44100	2205	0.404785	0	-0.000070	PASS
create_crosswalk_signal_sound	44100	17640	0.440979	0	-0.000064	PASS
create_rain_asphalt_sound	44100	39690	0.474670	0	0.000521	PASS
create_tram_traction_sound	44100	35280	0.625092	0	0.000057	PASS
create_bus_engine_sound	44100	44100	0.566803	0	0.015091	PASS
create_bus_rain_window_sound	44100	37485	0.330994	0	0.000272	PASS
create_bus_announcement_sound	44100	30869	0.476715	0	-0.000010	PASS
create_bus_door_pneumatic_sound	44100	22050	0.442078	0	0.000328	PASS
create_ring_chime_sound	44100	26460	0.579803	0	0.000002	PASS
create_stair_footstep_sound	44100	7938	0.598602	0	0.001207	PASS
create_apartment_door_sound	44100	33075	0.394623	0	0.002241	PASS
create_dialogue_marta_blip_sound	44100	3307	0.498871	0	-0.000000	PASS
create_stair_timer_switch_sound	44100	5292	0.650452	0	0.005963	PASS
create_parquet_footstep_sound	44100	7056	0.509705	0	0.000574	PASS
create_drawer_lock_unlatch_sound	44100	17640	0.457184	0	-0.000016	PASS
create_paper_rustle_sound	44100	19845	0.355042	0	0.000000	PASS
create_kettle_boil_sound	44100	22050	0.516357	0	0.001183	PASS
create_kettle_whistle_sound	44100	28665	0.512939	0	-0.000045	PASS
create_tile_footstep_sound	44100	7938	0.594696	0	-0.002202	PASS
create_water_pipe_hiss_sound	44100	22050	0.545258	0	0.000086	PASS
create_glass_scratch_sound	44100	16758	0.468079	0	-0.000002	PASS
create_mirror_shimmer_sound	44100	26460	0.535950	0	0.000001	PASS
create_bakelite_bell_sound	44100	19845	0.691620	0	-0.000023	PASS
create_handset_pickup_sound	44100	7056	0.586121	0	0.001115	PASS
create_tape_motor_hum_sound	44100	22050	0.555420	0	0.000023	PASS
create_dialogue_jakub_blip_sound	44100	3528	0.558197	0	0.000199	PASS
create_morning_ambience_sound	44100	44100	0.477509	0	0.000000	PASS
create_ucp_stabilizer_beam_sound	44100	28665	0.424377	0	-0.000000	PASS
create_masonry_smooth_sound	44100	24255	0.270386	0	-0.000619	PASS
create_dialogue_elderly_woman_sound	44100	3307	0.498871	0	-0.000062	PASS
create_subway_hum_sound	44100	52920	0.581085	0	0.000074	PASS
create_neon_flicker_sound	44100	30869	0.539154	0	0.000100	PASS
create_terminal_keypress_sound	44100	3969	0.680511	0	0.002042	PASS
create_pa_chime_sound	44100	37485	0.466644	0	0.000069	PASS
create_drafting_lamp_hum_sound	44100	39690	0.580902	0	0.000001	PASS
create_photo_slide_sound	44100	14112	0.561523	0	-0.000017	PASS
create_shadow_whisper_sound	44100	61739	0.593872	0	-0.000472	PASS
create_relay_alignment_click_sound	44100	8820	0.690796	0	0.000757	PASS
create_metal_scratch_chime_sound	44100	21168	0.529816	0	-0.000026	PASS
create_tape_degradation_filter_sound	44100	79380	0.585480	0	-0.001278	PASS
create_seam_clamp_sound	44100	15876	0.623077	0	0.000023	PASS
create_conduit_shaft_wind_sound	44100	70560	0.676239	0	0.000654	PASS
create_catwalk_footstep_sound	44100	9702	0.611542	0	0.000082	PASS
create_water_drip_puddle_sound	44100	14112	0.606018	0	-0.000016	PASS
create_pressure_valve_release_sound	44100	55125	0.651917	0	0.000037	PASS
create_resonance_pulse_sound	44100	66150	0.690979	0	0.000088	PASS
create_ceramic_cup_clink_sound	44100	16758	0.410767	0	-0.000135	PASS
create_tea_pour_steam_sound	44100	50714	0.589783	0	0.001753	PASS
create_kitchen_clock_tick_sound	44100	10584	0.626617	0	0.001455	PASS
create_dossier_paper_turn_sound	44100	21168	0.197693	0	0.000035	PASS
create_dispenser_ticket_sound	44100	18522	0.681488	0	-0.000009	PASS
create_clinic_intercom_chime_sound	44100	48510	0.512268	0	0.000028	PASS
create_pneumatic_tube_whoosh_sound	44100	59535	0.592285	0	0.000111	PASS
create_wierzbicka_printer_sound	44100	52920	0.394379	0	-0.000279	PASS
create_sensory_galvanometer_tick_sound	44100	7938	0.653198	0	0.000586	PASS
create_substructure_strain_groan_sound	44100	79380	0.578583	0	-0.000000	PASS
create_map_node_pulse_sound	44100	24255	0.282715	0	-0.000001	PASS
create_wierzbicka_stamp_sound	44100	15434	0.696136	0	0.001243	PASS
create_model_table_resonance_sound	44100	37485	0.534088	0	-0.000268	PASS
create_paper_map_rustle_sound	44100	19845	0.408325	0	0.000000	PASS
create_ledger_page_turn_sound	44100	22050	0.416565	0	0.000016	PASS
create_model_room_door_release_sound	44100	26460	0.402771	0	-0.000013	PASS
create_crayon_drawing_rustle_sound	44100	19845	0.631256	0	-0.000013	PASS
create_well_water_drip_sound	44100	33075	0.548981	0	0.000109	PASS
create_szymon_dialogue_blip_sound	44100	3969	0.521301	0	-0.000003	PASS
create_door_creak_shift_sound	44100	28665	0.688812	0	0.001920	PASS
create_anesthetic_hum_sound	44100	52920	0.484528	0	-0.000000	PASS
create_sedation_monitor_blip_sound	44100	9702	0.274048	0	0.000003	PASS
create_erased_name_glitch_sound	44100	21168	0.685028	0	-0.000603	PASS
create_station21_airlock_sound	44100	28665	0.497375	0	0.000065	PASS
create_biometric_gate_scan_sound	44100	33075	0.659393	0	-0.000031	PASS
create_ring_resonance_hum_sound	44100	41895	0.527100	0	-0.000000	PASS
create_paint_memory_recall_sound	44100	55125	0.666199	0	-0.000007	PASS
create_biographical_erasure_glitch_sound	44100	37485	0.598511	0	0.000392	PASS
create_station22_door_release_sound	44100	30869	0.389923	0	0.000042	PASS
create_designer_terminal_hum_sound	44100	48510	0.631683	0	-0.000001	PASS
create_cursor_shift_glitch_sound	44100	10584	0.519592	0	0.000007	PASS
create_burden_ledger_scan_sound	44100	28665	0.480438	0	-0.000009	PASS
create_designer_note_chime_sound	44100	39690	0.447845	0	-0.000003	PASS
create_station23_exit_unlatch_sound	44100	33075	0.416748	0	0.000033	PASS
create_cctv_static_hum_sound	44100	52920	0.605713	0	-0.000001	PASS
create_correction_stress_siren_sound	44100	48510	0.629639	0	0.000029	PASS
create_intercom_wierzbicka_tone_sound	44100	19845	0.501434	0	-0.000005	PASS
create_decision_button_latch_sound	44100	13230	0.569305	0	0.001986	PASS
create_station24_door_release_sound	44100	33075	0.413086	0	0.000023	PASS
create_transit_rail_hum_sound	44100	55125	0.624908	0	-0.000001	PASS
create_jakub_uniform_rustle_sound	44100	22050	0.389038	0	0.000000	PASS
create_scar_revelation_chime_sound	44100	52920	0.608917	0	-0.000004	PASS
create_finger_edge_scrape_sound	44100	15434	0.310913	0	0.000000	PASS
create_station25_door_release_sound	44100	30869	0.429779	0	0.000039	PASS
create_isolation_hum_sound	44100	57330	0.541565	0	-0.000002	PASS
create_reconfiguration_chime_sound	44100	37485	0.537018	0	-0.000009	PASS
create_wierzbicka_calming_tone_sound	44100	26460	0.583344	0	-0.000000	PASS
create_motivation_scratch_sound	44100	19845	0.480103	0	-0.001913	PASS
create_station26_door_release_sound	44100	33075	0.431366	0	0.000087	PASS
create_service_tunnel_hum_sound	44100	52920	0.591980	0	-0.000007	PASS
create_jakub_keycard_latch_sound	44100	24255	0.364166	0	0.000197	PASS
create_gratitude_confession_tone_sound	44100	44100	0.645752	0	-0.000000	PASS
create_surface_danger_siren_sound	44100	39690	0.575104	0	-0.000111	PASS
create_station27_door_release_sound	44100	37485	0.544281	0	-0.000003	PASS
create_moving_tram_motor_sound	44100	52920	0.688263	0	-0.000004	PASS
