source	key	kind	text
scripts\core\localization_manager.gd	UI_START_EXPERIMENT	ui_key	ROZPOCZNIJ POMIAR (21:45)
scripts\core\localization_manager.gd	UI_MOVEMENT_PROFILE	ui_key	PROFIL RUCHU:
scripts\core\localization_manager.gd	UI_PROFILE_A	ui_key	PROFIL A: BAZOWY (IKP STANDARD)
scripts\core\localization_manager.gd	UI_PROFILE_B	ui_key	PROFIL B: SPRĘŻYSTY (SZYBKI)
scripts\core\localization_manager.gd	UI_PROFILE_C	ui_key	PROFIL C: INERCYJNY (MASA)
scripts\core\localization_manager.gd	UI_RESTART_HINT	ui_key	[R] RESTART KOMORY
scripts\core\localization_manager.gd	UI_ANCHOR_HINT	ui_key	[E] ZAKOTWICZENIE  //  [F] KOREKTA
scripts\core\localization_manager.gd	UI_INTERACT_HINT	ui_key	[E] INTERAKCJA
scripts\core\localization_manager.gd	TITLE_SUBTITLE	ui_key	OSOBISTY THRILLER // POWRÓT PRZEZ LINIĘ 4
scripts\core\localization_manager.gd	TITLE_PERSONAL_PROMISE	ui_key	Marta czeka na Lenę. Trzy sekundy z Linii 4 nie chcą zniknąć.
scripts\core\localization_manager.gd	TITLE_RETURN_PROMISE	ui_key	LINIA 4  //  OSTATNI ODCZYT  //  POWRÓT
scripts\core\localization_manager.gd	COLD_OPEN_SKIP	ui_key	POMIŃ ▸
scripts\core\localization_manager.gd	MENU_NEW_GAME	ui_key	NOWA GRA
scripts\core\localization_manager.gd	MENU_CONTINUE	ui_key	KONTYNUUJ
scripts\core\localization_manager.gd	MENU_REPLAY_EPILOGUE	ui_key	POWTÓRZ EPILOG
scripts\core\localization_manager.gd	MENU_SETTINGS	ui_key	USTAWIENIA
scripts\core\localization_manager.gd	MENU_QUIT	ui_key	ZAKOŃCZ
scripts\core\localization_manager.gd	STATUS_SAVE_ACTIVE	ui_key	WZNÓW // %s%s
scripts\core\localization_manager.gd	STATUS_SAVE_NONE	ui_key	ZACZNIJ // OSTATNI ODCZYT PRZY LINII 4
scripts\core\localization_manager.gd	STATUS_COMPLETED_SUFFIX	ui_key	  //  UKOŃCZONA  //  %s
scripts\core\localization_manager.gd	CONTROLS_HEADER	ui_key	RUSZ SIĘ / ZBADAJ
scripts\core\localization_manager.gd	INPUT_ACTION_MOVE_LEFT	ui_key	W LEWO
scripts\core\localization_manager.gd	INPUT_ACTION_MOVE_RIGHT	ui_key	W PRAWO
scripts\core\localization_manager.gd	INPUT_ACTION_JUMP	ui_key	SKOK
scripts\core\localization_manager.gd	INPUT_ACTION_INTERACT	ui_key	INTERAKCJA
scripts\core\localization_manager.gd	INPUT_ACTION_PAUSE	ui_key	PAUZA
scripts\core\localization_manager.gd	INPUT_ACTION_RESTART	ui_key	RESTART
scripts\core\localization_manager.gd	INPUT_ACTION_TRIGGER_CORRECTION	ui_key	KOREKTA
scripts\core\localization_manager.gd	BUILD_LABEL	ui_key	WER. %s  //  PC  //  %dx%d  //  FIZYKA %d Hz
scripts\core\localization_manager.gd	SETTINGS_TITLE	ui_key	USTAWIENIA  //  RUNTIME
scripts\core\localization_manager.gd	SETTINGS_LANGUAGE	ui_key	JĘZYK
scripts\core\localization_manager.gd	SETTINGS_LANGUAGE_HINT	ui_key	Przełącz teksty shellu i UI.
scripts\core\localization_manager.gd	SETTINGS_MASTER_VOLUME	ui_key	GŁOŚNOŚĆ MASTER
scripts\core\localization_manager.gd	SETTINGS_TEXT_SPEED	ui_key	TEMPO TEKSTU  //  ZNAKI/S
scripts\core\localization_manager.gd	SETTINGS_TEXT_SCALE	ui_key	SKALA TEKSTU
scripts\core\localization_manager.gd	SETTINGS_FULLSCREEN	ui_key	TRYB PEŁNOEKRANOWY
scripts\core\localization_manager.gd	SETTINGS_REDUCED_MOTION	ui_key	OGRANICZONY RUCH
scripts\core\localization_manager.gd	SETTINGS_REDUCED_MOTION_HINT	ui_key	Tłumi migotanie świetlówek, pulsowanie pola kotwiczenia, wstrząs kamery i mikro-cząstki. Nic nie znika ze świata.
scripts\core\localization_manager.gd	SETTINGS_REMAP	ui_key	STEROWANIE  //  REMAP
scripts\core\localization_manager.gd	SETTINGS_HINT	ui_key	Zmiany zapisują się natychmiast. Dialogi pozostają w języku źródłowym.
scripts\core\localization_manager.gd	SETTINGS_REMAP_TITLE	ui_key	STEROWANIE  //  REMAP AKCJI
scripts\core\localization_manager.gd	SETTINGS_REMAP_HINT	ui_key	Wybierz akcję, potem naciśnij klawisz lub przycisk pada.
scripts\core\localization_manager.gd	SETTINGS_REMAP_PENDING	ui_key	NACIŚNIJ KLAWISZ LUB PRZYCISK PADA DLA: %s\nESC / B = ANULUJ
scripts\core\localization_manager.gd	SETTINGS_REMAP_WAITING	ui_key	OCZEKIWANIE…
scripts\core\localization_manager.gd	SETTINGS_REMAP_SAVED	ui_key	ZAPISANO: %s
scripts\core\localization_manager.gd	SETTINGS_REMAP_CONFLICT	ui_key	KONFLIKT: %s JUŻ UŻYWA TEGO WEJŚCIA
scripts\core\localization_manager.gd	SETTINGS_REMAP_UNSUPPORTED	ui_key	TYLKO KLAWISZ LUB PRZYCISK PADA
scripts\core\localization_manager.gd	SETTINGS_RESTORE_DEFAULTS	ui_key	DOMYŚLNE MAPOWANIA
scripts\core\localization_manager.gd	SETTINGS_REMAP_DEFAULTS_RESTORED	ui_key	PRZYWRÓCONO DOMYŚLNE MAPOWANIA
scripts\core\localization_manager.gd	UI_BACK	ui_key	POWRÓT
scripts\core\localization_manager.gd	PAUSE_TITLE	ui_key	KAMPANIA  //  PAUZA
scripts\core\localization_manager.gd	PAUSE_RESUME	ui_key	WZNÓW
scripts\core\localization_manager.gd	PAUSE_CHECKPOINT	ui_key	CHECKPOINT
scripts\core\localization_manager.gd	PAUSE_SETTINGS	ui_key	USTAWIENIA
scripts\core\localization_manager.gd	PAUSE_TEST_MODE	ui_key	TRYB TESTOWY: %s
scripts\core\localization_manager.gd	PAUSE_RESET_SAVE	ui_key	RESET ZAPISU
scripts\core\localization_manager.gd	PAUSE_STATUS	ui_key	ODKRYTE: %d/%d   |   TRYB TESTOWY: %s
scripts\core\localization_manager.gd	PAUSE_FOOTER	ui_key	PAUZA: POWRÓT  //  INTERAKCJA: WYBÓR
scripts\core\localization_manager.gd	PAUSE_STATION_TOOLTIP	ui_key	Adres %s
scripts\core\localization_manager.gd	CRT_CONTINUE	ui_key	INTERAKCJA  >
