surface	mode	path	driver	width	height	textless	md5	mean_luma	measurement	heuristic
shell_title	pl	reports/pkg_0184/visual/shell_title__pl.png	Windows	640	360	false	bd27f9c4c34dabd8080f5fc44506ec13	0.1101	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
settings	pl	reports/pkg_0184/visual/settings__pl.png	Windows	640	360	false	50cc2390ee23ecd929d886711b68ffc8	0.1434	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
shell_title	en	reports/pkg_0184/visual/shell_title__en.png	Windows	640	360	false	2fad398e2ee5bddf5f504f154bdd5f5a	0.1089	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
cold_open	t0	reports/pkg_0184/visual/cold_open__t0.png	Windows	640	360	false	05aeaebde19bef280fbd9e5f4f42ba83	0.1024	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
cold_open	initial	reports/pkg_0184/visual/cold_open__initial.png	Windows	640	360	false	05aeaebde19bef280fbd9e5f4f42ba83	0.1024	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_01	normal	reports/pkg_0184/visual/station_01__normal.png	Windows	640	360	false	8c0430af7ba58f84395e1772122fcf72	0.1934	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_01	key_object	reports/pkg_0184/visual/station_01__key_object.png	Windows	640	360	false	982214b2ad473ac42a527499bbcaddb7	0.1927	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_01	interaction	reports/pkg_0184/visual/station_01__interaction.png	Windows	640	360	false	7e620ee79e8f7ef9c868f14a381fc4e3	0.1865	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_01	m3_mono	reports/pkg_0184/visual/station_01__m3_mono.png	Windows	640	360	true	a6a39742114b2150533c791ebdcd69f0	0.1879	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
pause	campaign	reports/pkg_0184/visual/pause__campaign.png	Windows	640	360	false	2754d7359fec5233943d1c122c167f9f	0.1034	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_02	normal	reports/pkg_0184/visual/station_02__normal.png	Windows	640	360	false	18b60fcbfe0a3bd2b9c975ee087c4fcd	0.1940	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
