surface	mode	path	driver	width	height	md5	mean_luma
shell_title	pl	reports/pkg_0186/visual/shell_title__pl.png	Windows	640	360	bd27f9c4c34dabd8080f5fc44506ec13	0.1101
settings	pl	reports/pkg_0186/visual/settings__pl.png	Windows	640	360	50cc2390ee23ecd929d886711b68ffc8	0.1434
cold_open	initial	reports/pkg_0186/visual/cold_open__initial.png	Windows	640	360	05aeaebde19bef280fbd9e5f4f42ba83	0.1024
station_01	opening_panel	reports/pkg_0186/visual/station_01__opening_panel.png	Windows	640	360	5b3570f34cab8ae8e64ade2a8038742b	0.1776
station_01	normal	reports/pkg_0186/visual/station_01__normal.png	Windows	640	360	6e09770d358481ebd86547b9e3ab464a	0.1905
pause	campaign	reports/pkg_0186/visual/pause__campaign.png	Windows	640	360	bd1c16431c9ac4fa36150e126466866d	0.1035
station_02	opening_panel	reports/pkg_0186/visual/station_02__opening_panel.png	Windows	640	360	4daf37e75bd17efb5bdcb7fc2c519dfd	0.1690
station_02	normal	reports/pkg_0186/visual/station_02__normal.png	Windows	640	360	2eace509404dccf3bda7b5af996359d2	0.1921
station_03	opening_panel	reports/pkg_0186/visual/station_03__opening_panel.png	Windows	640	360	49eff73c7c8c149fb3228f4a74474571	0.1476
station_03	normal	reports/pkg_0186/visual/station_03__normal.png	Windows	640	360	8bfba5f35373e5e5dd28271cabb731e7	0.1596
station_04	opening_panel	reports/pkg_0186/visual/station_04__opening_panel.png	Windows	640	360	f9710872c98029c51ad2f362bfda881a	0.1512
station_04	normal	reports/pkg_0186/visual/station_04__normal.png	Windows	640	360	250cc70d5fdd4deee21b098f9af00e87	0.1774
station_05	opening_panel	reports/pkg_0186/visual/station_05__opening_panel.png	Windows	640	360	e05588045301480e34ff7745e97910dd	0.1461
station_05	normal	reports/pkg_0186/visual/station_05__normal.png	Windows	640	360	b85625f011842375fdae1ec52ae8f042	0.1659
station_06	opening_panel	reports/pkg_0186/visual/station_06__opening_panel.png	Windows	640	360	2f967ee742eb90a673139e406ad1880b	0.1563
station_06	normal	reports/pkg_0186/visual/station_06__normal.png	Windows	640	360	1092f19ddeba1b034a26b3cf2ce56b30	0.1767
station_06	npc_frame	reports/pkg_0186/visual/station_06__npc_frame.png	Windows	640	360	1546dc72bbfaaf0ad8edd87a81da8d3e	0.1648
station_07	opening_panel	reports/pkg_0186/visual/station_07__opening_panel.png	Windows	640	360	9b1c15e97dbf972c232d0ed24a778fe7	0.1537
station_07	normal	reports/pkg_0186/visual/station_07__normal.png	Windows	640	360	87f9d2c0ec98d614e3bc490a58b1d4ab	0.1817
station_08	opening_panel	reports/pkg_0186/visual/station_08__opening_panel.png	Windows	640	360	520489a05a91db2b495f09eb0ca0c904	0.1798
station_08	normal	reports/pkg_0186/visual/station_08__normal.png	Windows	640	360	5fa3d81bd40fe2e68f51b0a79b99c0ac	0.1992
station_08	npc_frame	reports/pkg_0186/visual/station_08__npc_frame.png	Windows	640	360	eb8a6206cdf5771662404ce8fc94b798	0.1961
station_09	opening_panel	reports/pkg_0186/visual/station_09__opening_panel.png	Windows	640	360	71eb324acaf5a630813a490c6655f83b	0.2447
station_09	normal	reports/pkg_0186/visual/station_09__normal.png	Windows	640	360	a5e5044a935d13d5c684abbe6bdcaa7c	0.2727
station_10	opening_panel	reports/pkg_0186/visual/station_10__opening_panel.png	Windows	640	360	901168e8f7073f4b6e6e2e9225740643	0.3282
station_10	normal	reports/pkg_0186/visual/station_10__normal.png	Windows	640	360	0251ec3984f13af896dff755ac3644be	0.3623
station_10	npc_frame	reports/pkg_0186/visual/station_10__npc_frame.png	Windows	640	360	b9b52d40b2c9267d5df9656ac502bdd4	0.3683
station_11	opening_panel	reports/pkg_0186/visual/station_11__opening_panel.png	Windows	640	360	222db48120ecfd97c247b9e8e232021a	0.4979
station_11	normal	reports/pkg_0186/visual/station_11__normal.png	Windows	640	360	7d7ef9638c7f6bfdf2b2f102126a4a4a	0.5857
station_11	npc_frame	reports/pkg_0186/visual/station_11__npc_frame.png	Windows	640	360	98cd6969086eb743e71b46865899ce73	0.6281
station_12	opening_panel	reports/pkg_0186/visual/station_12__opening_panel.png	Windows	640	360	70d9686ca7070f2611be3884298505cf	0.2377
station_12	normal	reports/pkg_0186/visual/station_12__normal.png	Windows	640	360	9308884725bcd1e71f55f4ecd722ddf3	0.2536
station_12	npc_frame	reports/pkg_0186/visual/station_12__npc_frame.png	Windows	640	360	b9a02ec77f3c9cb3ec56583091687f9f	0.2668
station_13	opening_panel	reports/pkg_0186/visual/station_13__opening_panel.png	Windows	640	360	cc0aded9ed4000f1571fce1acae6a41f	0.2905
station_13	normal	reports/pkg_0186/visual/station_13__normal.png	Windows	640	360	2a3dc21d0ef401b1a758a5c3d82a4a00	0.3263
station_14	opening_panel	reports/pkg_0186/visual/station_14__opening_panel.png	Windows	640	360	746d93ce9ff76bb27aa1c94e808083cf	0.1736
station_14	normal	reports/pkg_0186/visual/station_14__normal.png	Windows	640	360	b05e935e032ba07b5d7f74609df721d3	0.1682
station_15	opening_panel	reports/pkg_0186/visual/station_15__opening_panel.png	Windows	640	360	33f8d02d3bbc651638d29d7a61d626be	0.1682
station_15	normal	reports/pkg_0186/visual/station_15__normal.png	Windows	640	360	adeebf3b46e563338560b9f9fbe59fee	0.1662
station_16	opening_panel	reports/pkg_0186/visual/station_16__opening_panel.png	Windows	640	360	4e27786c8856be66a77977878aa9eeb3	0.1542
station_16	normal	reports/pkg_0186/visual/station_16__normal.png	Windows	640	360	b6a54524753306eabe38411cf3b595a3	0.1526
station_17	opening_panel	reports/pkg_0186/visual/station_17__opening_panel.png	Windows	640	360	ff5c8164cd0740eeda9f781bce45ab79	0.1647
station_17	normal	reports/pkg_0186/visual/station_17__normal.png	Windows	640	360	1b4355b9b3cab93c22877f4a83f878e7	0.1657
station_18	opening_panel	reports/pkg_0186/visual/station_18__opening_panel.png	Windows	640	360	f5f2b6c002202f98e929d382fa3ed185	0.1388
station_18	normal	reports/pkg_0186/visual/station_18__normal.png	Windows	640	360	24b4d7fcedf6be3857688c077535e2cc	0.1560
station_42a	opening_panel	reports/pkg_0186/visual/station_42a__opening_panel.png	Windows	640	360	6a1a864ee1fe1526fd585f98d050cfa4	0.1652
station_42a	normal	reports/pkg_0186/visual/station_42a__normal.png	Windows	640	360	ead8343c15af7bf39cdb826f130fb2d6	0.1876
station_42b	opening_panel	reports/pkg_0186/visual/station_42b__opening_panel.png	Windows	640	360	c13a9aa01476684e1714e74cf3d1cdf5	0.1686
station_42b	normal	reports/pkg_0186/visual/station_42b__normal.png	Windows	640	360	f3c65793a62d5bd698166fb46371cab8	0.1930
station_42b	npc_frame	reports/pkg_0186/visual/station_42b__npc_frame.png	Windows	640	360	17dc22a04986c8a4390d099089b5b0e8	0.1905
station_42c	opening_panel	reports/pkg_0186/visual/station_42c__opening_panel.png	Windows	640	360	7aa546cba750498100aa11ee42c61732	0.1684
station_42c	normal	reports/pkg_0186/visual/station_42c__normal.png	Windows	640	360	048c76f2144518d02290fc4268c7b375	0.1934
station_42c	npc_frame	reports/pkg_0186/visual/station_42c__npc_frame.png	Windows	640	360	c9090cb9cbd9fa4451523b3918478c1f	0.1906
station_43	opening_panel	reports/pkg_0186/visual/station_43__opening_panel.png	Windows	640	360	08269ab9f2e572016bf50e81ed18d80e	0.1392
station_43	normal	reports/pkg_0186/visual/station_43__normal.png	Windows	640	360	1b7a0ba28803ce86a5ca17acd47d2a44	0.1499
panel_portrait	lena	reports/pkg_0186/visual/panel_portrait__lena.png	Windows	640	360	7ab6d8a4bd801c9e11cae68aa08374cb	0.3176
panel_portrait	marta	reports/pkg_0186/visual/panel_portrait__marta.png	Windows	640	360	d2a67c70440a27cf0900feab9e50918d	0.3230
panel_portrait	jakub	reports/pkg_0186/visual/panel_portrait__jakub.png	Windows	640	360	a951e0649db7264bf76893fddbaacab6	0.3242
