surface	mode	path	driver	width	height	textless	md5	mean_luma
shell_title	pl	reports/pkg_0187/visual/shell_title__pl.png	Windows	640	360	false	bd27f9c4c34dabd8080f5fc44506ec13	0.1101
settings	pl	reports/pkg_0187/visual/settings__pl.png	Windows	640	360	false	50cc2390ee23ecd929d886711b68ffc8	0.1434
cold_open	initial	reports/pkg_0187/visual/cold_open__initial.png	Windows	640	360	false	05aeaebde19bef280fbd9e5f4f42ba83	0.1024
station_01	opening_panel	reports/pkg_0187/visual/station_01__opening_panel.png	Windows	640	360	false	a9245ff6fe158db0772873294ef0abe3	0.1731
station_01	normal	reports/pkg_0187/visual/station_01__normal.png	Windows	640	360	false	27a407bbe9cc370ed766129680d2fc76	0.1930
station_01	threshold	reports/pkg_0187/visual/station_01__threshold.png	Windows	640	360	false	36889a3671733d902c8cbebd8b68b78e	0.1889
station_01	mono	reports/pkg_0187/visual/station_01__mono.png	Windows	640	360	true	1420aa267a907420595beb71b80e771b	0.1908
pause	campaign	reports/pkg_0187/visual/pause__campaign.png	Windows	640	360	false	0222760aefd8f12ec9481383c3036201	0.1034
station_02	opening_panel	reports/pkg_0187/visual/station_02__opening_panel.png	Windows	640	360	false	68837ba989c910b2f61aef71eb13583a	0.1644
station_02	normal	reports/pkg_0187/visual/station_02__normal.png	Windows	640	360	false	08b514ab1e6a7f91228983b9185e89ff	0.1898
station_02	threshold	reports/pkg_0187/visual/station_02__threshold.png	Windows	640	360	false	f88ac743139d7b93425f742fe1aade93	0.1935
station_02	mono	reports/pkg_0187/visual/station_02__mono.png	Windows	640	360	true	d00b53df14ecb11922b865a92c666e58	0.1892
station_03	opening_panel	reports/pkg_0187/visual/station_03__opening_panel.png	Windows	640	360	false	7d1528bccd16062683e8503ca1961fd4	0.1469
station_03	normal	reports/pkg_0187/visual/station_03__normal.png	Windows	640	360	false	c3caa1d9b68652d772328bfb87339091	0.1602
station_03	threshold	reports/pkg_0187/visual/station_03__threshold.png	Windows	640	360	false	b55ba56316598fc2f905772bea7d910b	0.1612
station_03	mono	reports/pkg_0187/visual/station_03__mono.png	Windows	640	360	true	d7a7d10178ea509ecabc70e96a94b15e	0.1587
station_04	opening_panel	reports/pkg_0187/visual/station_04__opening_panel.png	Windows	640	360	false	0d7e68390608cbecd34ebd87bc186237	0.1470
station_04	normal	reports/pkg_0187/visual/station_04__normal.png	Windows	640	360	false	534609326716f47c8f76f040c1dec313	0.1735
station_04	threshold	reports/pkg_0187/visual/station_04__threshold.png	Windows	640	360	false	4f213dce324e400342bfff597705921a	0.1689
station_04	mono	reports/pkg_0187/visual/station_04__mono.png	Windows	640	360	true	5222fb4cd874428f5af6de3becf6fecd	0.1702
station_05	opening_panel	reports/pkg_0187/visual/station_05__opening_panel.png	Windows	640	360	false	3125b18df51e9508d26e37525d46d1a3	0.1440
station_05	normal	reports/pkg_0187/visual/station_05__normal.png	Windows	640	360	false	4a90afb5094d90d679ad76a86a4968f8	0.1636
station_05	threshold	reports/pkg_0187/visual/station_05__threshold.png	Windows	640	360	false	9dc65576673f69deb911c38797192ff1	0.1590
station_05	mono	reports/pkg_0187/visual/station_05__mono.png	Windows	640	360	true	7beea60e4a3986dd2fa5b30d1f8081c8	0.1584
