vignette	mode	path	width	height	md5
vig_threshold	before_trigger	reports/pkg_0190/cinematics/vig_threshold__before_trigger.png	640	360	338a242f7c7d2d478470a4eb601cbf27
vig_threshold	frame_0	reports/pkg_0190/cinematics/vig_threshold__frame_0.png	640	360	5f890abbdf1a268b66f41125ad664f19
vig_threshold	frame_1	reports/pkg_0190/cinematics/vig_threshold__frame_1.png	640	360	ad8f8ff11c590df0939bfa6e4412c248
vig_threshold	after_skip	reports/pkg_0190/cinematics/vig_threshold__after_skip.png	640	360	e0bc3db6ad0105304f65ccd03d69b3ef
vig_synthesis	before_trigger	reports/pkg_0190/cinematics/vig_synthesis__before_trigger.png	640	360	b503b5faaec39789bb6f176c0d915bc7
vig_synthesis	frame_0	reports/pkg_0190/cinematics/vig_synthesis__frame_0.png	640	360	a75964b45c4e6ec885ae2605890cc9fa
vig_synthesis	frame_1_reduced_motion	reports/pkg_0190/cinematics/vig_synthesis__frame_1_reduced_motion.png	640	360	0165759164ea7720505e578727a7a109
vig_signal	before_trigger	reports/pkg_0190/cinematics/vig_signal__before_trigger.png	640	360	fe87ca9455e9d6bfd1dabfdcd84d7a26
vig_signal	frame_0	reports/pkg_0190/cinematics/vig_signal__frame_0.png	640	360	c708cb425aef37c8b6be25d3ff312692
vig_signal	after_skip	reports/pkg_0190/cinematics/vig_signal__after_skip.png	640	360	2fd54fe6d3c568f47f1c5895616435f1
vig_commit	before_trigger	reports/pkg_0190/cinematics/vig_commit__before_trigger.png	640	360	af1831fd512ac2b726892391efbf8efb
vig_commit	frame_0	reports/pkg_0190/cinematics/vig_commit__frame_0.png	640	360	ab11ac0ce806f3c8ca9a517fda134708
vig_commit	after_skip	reports/pkg_0190/cinematics/vig_commit__after_skip.png	640	360	6a16c29df0ddc029d2a937073549fa18
finale_a	before_trigger	reports/pkg_0190/cinematics/finale_a__before_trigger.png	640	360	aa9829be8fba248b759e5ef404ac2e61
finale_a	frame_0	reports/pkg_0190/cinematics/finale_a__frame_0.png	640	360	89bb8945d5e0c234608de444ae49cba3
finale_a	after_skip	reports/pkg_0190/cinematics/finale_a__after_skip.png	640	360	0a438c46c7d401f5aafa04a6e2a0a503
finale_b	before_trigger	reports/pkg_0190/cinematics/finale_b__before_trigger.png	640	360	1dcc08e6bb869c5ec68710ea316699d0
finale_b	frame_0	reports/pkg_0190/cinematics/finale_b__frame_0.png	640	360	90a188d1f77be197c85944a8a6682ef5
finale_b	after_skip	reports/pkg_0190/cinematics/finale_b__after_skip.png	640	360	7b8aece2b85e0931379ef9238c87798a
finale_c	before_trigger	reports/pkg_0190/cinematics/finale_c__before_trigger.png	640	360	dc274ac2f13878efcbf6411dddbc7629
finale_c	frame_0	reports/pkg_0190/cinematics/finale_c__frame_0.png	640	360	1dc43e315bb492c56f78fedd56aa3075
finale_c	after_skip	reports/pkg_0190/cinematics/finale_c__after_skip.png	640	360	45ba8a9736c77143a1587307b50891d5
