generator	call_status	mix_rate	frames	peak_abs	clipped_samples	dc_offset	loop_mode	seam_delta	status
create_anchor_sound	CALLED	44100	17640	0.552490	0	-0.000502	0	0.002594	PASS
create_unanchor_sound	CALLED	44100	12348	0.658722	0	0.000002	0	0.000000	PASS
create_correction_pulse_sound	CALLED	44100	24255	0.742737	0	0.001750	0	0.023468	PASS
create_resist_sound	CALLED	44100	18522	0.692749	0	-0.000041	0	0.000977	PASS
create_goal_sound	CALLED	44100	26460	0.737793	0	-0.000020	0	0.002838	PASS
create_footstep_linoleum_sound	CALLED	44100	3087	0.251343	0	0.000711	0	0.000092	PASS
create_footstep_metal_sound	CALLED	44100	3969	0.450836	0	0.000121	0	0.001709	PASS
create_land_sound	CALLED	44100	6174	0.393707	0	0.001640	0	0.010986	PASS
create_airlock_seal_sound	CALLED	44100	37485	0.717712	0	0.000070	0	0.000000	PASS
create_memory_resonance_sound	CALLED	44100	28665	0.834473	0	-0.000016	0	0.020905	PASS
create_switch_toggle_sound	CALLED	44100	3528	0.425568	0	0.000792	0	0.000092	PASS
create_vacuum_hum_sound	CALLED	44100	22050	0.573730	0	0.004476	0	0.038696	PASS
create_correlation_hum_sound	CALLED	44100	26460	0.620087	0	0.000124	0	0.038910	PASS
create_printer_strip_sound	CALLED	44100	19845	0.283661	0	0.000412	0	0.000519	PASS
create_needle_spike_sound	CALLED	44100	5292	0.551422	0	0.000089	0	0.000336	PASS
create_phone_ring_pulse_sound	CALLED	44100	15434	0.821533	0	0.000027	0	0.012482	PASS
create_card_reader_beep_sound	CALLED	44100	11466	0.706085	0	0.000024	0	0.000153	PASS
create_fluorescent_hum_sound	CALLED	44100	26460	0.570618	0	0.002209	0	0.037292	PASS
create_camera_click_sound	CALLED	44100	7938	0.759766	0	-0.014126	0	0.000061	PASS
create_turnstile_unlatch_sound	CALLED	44100	9702	0.878662	0	-0.018137	0	0.006165	PASS
create_dialogue_blip_sound	CALLED	44100	2205	0.460693	0	-0.000140	0	0.002380	PASS
create_crosswalk_signal_sound	CALLED	44100	17640	0.508942	0	-0.000072	0	0.000000	PASS
create_rain_asphalt_sound	CALLED	44100	39690	0.555969	0	0.000566	0	0.243164	PASS
create_tram_traction_sound	CALLED	44100	35280	0.801697	0	0.000017	0	0.089722	PASS
create_bus_engine_sound	CALLED	44100	44100	0.697845	0	0.017755	0	0.072968	PASS
create_bus_rain_window_sound	CALLED	44100	37485	0.367859	0	0.000288	0	0.142548	PASS
create_bus_announcement_sound	CALLED	44100	30869	0.558868	0	-0.000014	0	0.029083	PASS
create_bus_door_pneumatic_sound	CALLED	44100	22050	0.510468	0	0.000351	0	0.001862	PASS
create_ring_chime_sound	CALLED	44100	26460	0.719849	0	-0.000000	0	0.004608	PASS
create_stair_footstep_sound	CALLED	44100	7938	0.752808	0	0.000961	0	0.006714	PASS
create_apartment_door_sound	CALLED	44100	33075	0.447479	0	0.002407	0	0.007721	PASS
create_dialogue_marta_blip_sound	CALLED	44100	3307	0.591156	0	0.000000	0	0.000061	PASS
create_stair_timer_switch_sound	CALLED	44100	5292	0.851746	0	0.007353	0	0.001556	PASS
create_parquet_footstep_sound	CALLED	44100	7056	0.607330	0	0.000658	0	0.001068	PASS
create_drawer_lock_unlatch_sound	CALLED	44100	17640	0.531311	0	-0.000017	0	0.000000	PASS
create_paper_rustle_sound	CALLED	44100	19845	0.397400	0	-0.000000	0	0.000000	PASS
create_kettle_boil_sound	CALLED	44100	22050	0.617401	0	0.001547	0	0.013794	PASS
create_kettle_whistle_sound	CALLED	44100	28665	0.612244	0	-0.000031	0	0.128113	PASS
create_tile_footstep_sound	CALLED	44100	7938	0.745819	0	-0.002686	0	0.003113	PASS
create_water_pipe_hiss_sound	CALLED	44100	22050	0.662567	0	0.000115	0	0.041779	PASS
create_glass_scratch_sound	CALLED	44100	16758	0.546600	0	-0.000022	0	0.000000	PASS
create_mirror_shimmer_sound	CALLED	44100	26460	0.647797	0	-0.000000	0	0.000000	PASS
create_bakelite_bell_sound	CALLED	44100	19845	0.941254	0	-0.000023	0	0.001892	PASS
create_handset_pickup_sound	CALLED	44100	7056	0.730774	0	0.001296	0	0.001709	PASS
create_tape_motor_hum_sound	CALLED	44100	22050	0.679047	0	0.000021	0	0.046051	PASS
create_dialogue_jakub_blip_sound	CALLED	44100	3528	0.683563	0	0.000088	0	0.000092	PASS
create_morning_ambience_sound	CALLED	44100	44100	0.559998	0	-0.000005	0	0.003143	PASS
create_ucp_stabilizer_beam_sound	CALLED	44100	28665	0.486542	0	-0.000000	0	0.000000	PASS
create_masonry_smooth_sound	CALLED	44100	24255	0.295990	0	-0.000666	0	0.000000	PASS
create_dialogue_elderly_woman_sound	CALLED	44100	3307	0.591156	0	-0.000066	0	0.000366	PASS
create_subway_hum_sound	CALLED	44100	52920	0.722076	0	0.000000	0	0.000000	PASS
create_neon_flicker_sound	CALLED	44100	30869	0.652832	0	0.000115	0	0.092773	PASS
create_terminal_keypress_sound	CALLED	44100	3969	0.915955	0	0.002385	0	0.009491	PASS
create_pa_chime_sound	CALLED	44100	37485	0.544556	0	0.000075	0	0.005280	PASS
create_drafting_lamp_hum_sound	CALLED	44100	39690	0.721771	0	-0.000000	0	0.000000	PASS
create_photo_slide_sound	CALLED	44100	14112	0.689087	0	-0.000043	0	0.002899	PASS
create_shadow_whisper_sound	CALLED	44100	61739	0.744415	0	-0.000001	0	0.000092	PASS
create_relay_alignment_click_sound	CALLED	44100	8820	0.939301	0	0.000890	0	0.000183	PASS
create_metal_scratch_chime_sound	CALLED	44100	21168	0.638153	0	0.000004	0	0.002777	PASS
create_tape_degradation_filter_sound	CALLED	44100	79380	0.729706	0	-0.001396	0	0.000000	PASS
create_seam_clamp_sound	CALLED	44100	15876	0.797882	0	0.000042	0	0.000275	PASS
create_conduit_shaft_wind_sound	CALLED	44100	70560	0.906433	0	-0.000136	0	0.000702	PASS
create_catwalk_footstep_sound	CALLED	44100	9702	0.776337	0	0.000077	0	0.001038	PASS
create_water_drip_puddle_sound	CALLED	44100	14112	0.766205	0	-0.000001	0	0.000153	PASS
create_pressure_valve_release_sound	CALLED	44100	55125	0.854736	0	0.000048	0	0.004883	PASS
create_resonance_pulse_sound	CALLED	44100	66150	0.939728	0	0.000060	0	0.000031	PASS
create_ceramic_cup_clink_sound	CALLED	44100	16758	0.468475	0	-0.000153	0	0.000397	PASS
create_tea_pour_steam_sound	CALLED	44100	50714	0.737183	0	0.001934	0	0.000153	PASS
create_kitchen_clock_tick_sound	CALLED	44100	10584	0.804657	0	0.001671	0	0.000214	PASS
create_dossier_paper_turn_sound	CALLED	44100	21168	0.213470	0	0.000037	0	0.003326	PASS
create_dispenser_ticket_sound	CALLED	44100	18522	0.918091	0	-0.000019	0	0.000000	PASS
create_clinic_intercom_chime_sound	CALLED	44100	48510	0.611206	0	0.000031	0	0.010986	PASS
create_pneumatic_tube_whoosh_sound	CALLED	44100	59535	0.741577	0	0.000141	0	0.000000	PASS
create_wierzbicka_printer_sound	CALLED	44100	52920	0.447174	0	-0.000304	0	0.000580	PASS
create_sensory_galvanometer_tick_sound	CALLED	44100	7938	0.857361	0	0.000748	0	0.000031	PASS
create_substructure_strain_groan_sound	CALLED	44100	79380	0.717804	0	-0.000000	0	0.000000	PASS
