path	area	extension	bytes	sha256	last_write_utc
assets\characters\jakub\gesture.png	assets	.png	7723	b927e8ca27dd0709dae6688ded9204b47c9fee864faf8f38b58499ee5b64d1d3	2026-09-02T19:13:36.7621047Z
assets\characters\jakub\gesture.png.import	assets	.import	949	aeffcd6f23676cff8ac53b2d66bf156716e7cc93a97dfe7a26dbe00c15593e4e	2026-09-02T19:17:21.3841940Z
assets\characters\jakub\idle.png	assets	.png	7706	b365b79a3b9f3effba3b78f4145ff5b28c34ed3ddea9113cc043b784e4d8b340	2026-09-02T19:13:36.7462923Z
assets\characters\jakub\idle.png.import	assets	.import	939	464f6d2ae1e7d84c5d9c11609e47d600a8ff64352099891bf2686a1813327c05	2026-09-02T19:17:21.3806694Z
assets\characters\jakub\listen.png	assets	.png	7745	465fe4efffd25bbe38824ff202ed7c025c6e26cf7d9d5793a7bd9f7b3b801253	2026-09-02T19:13:36.7621047Z
assets\characters\jakub\listen.png.import	assets	.import	945	5c840eb05b909d36558e32728cecb5c2224097cacbbcf0b754ca7bc2cd75f838	2026-09-02T19:17:21.3756661Z
assets\characters\jakub\raw\40365fc3-dcfa-4186-b3c8-69990741a739.jpeg	assets	.jpeg	182346	f57ffcf60ac9475cb952501b90876fbac10ab87c0beb70cf20f119ae0bef9ab0	2026-09-02T19:09:39.5699302Z
assets\characters\jakub\seated.png	assets	.png	4968	ca43d0db8a53b3005bb080cae08a871e1ac25850615073e908f087b3285ed3a5	2026-09-02T19:13:36.7621047Z
assets\characters\jakub\seated.png.import	assets	.import	946	1db3dd17f38289f85c09cf4ec76167306b8c16252ff1aa43fd91ca37d0113608	2026-09-02T19:17:21.3726654Z
assets\characters\jakub\talk_0.png	assets	.png	7705	c3f15aa1870e15f46e05d50cc8b02cdd64ad00703813e3c383dac30f082c0cdd	2026-09-02T19:13:36.7621047Z
assets\characters\jakub\talk_0.png.import	assets	.import	945	ed9ca9db666da77de980ca84a774b64319d6764bd2e9ca014605443aac3fa298	2026-09-02T19:17:21.3726654Z
assets\characters\jakub\talk_1.png	assets	.png	7728	f34b472085db0d7c9b5a39878fd40135109a4be98b42487fced0520f9d95685f	2026-09-02T19:13:36.7621047Z
assets\characters\jakub\talk_1.png.import	assets	.import	946	b66def8390f4349b443990480808cc17e172d294164d051766abc1276a0636b1	2026-09-02T19:17:21.3696687Z
assets\characters\jakub\turn_away.png	assets	.png	7732	8c610040bfd029d4e1b1cef9726680494cefb472f1b27c453d30055b1e933330	2026-09-02T19:13:36.7621047Z
assets\characters\jakub\turn_away.png.import	assets	.import	955	e6de8207eec9b5c172cc2dc74eab51bb5e6596150f39b063d68058b101c5f673	2026-09-02T19:17:21.3650986Z
assets\characters\jakub\work.png	assets	.png	7719	0176eb52a29bc789d98cfdaf7c4b938aa1b5cce9607c7fb041faa557addcf383	2026-09-02T19:13:36.7682939Z
assets\characters\jakub\work.png.import	assets	.import	939	cb070c3e11e00c0e1abb7ed55a2a682935f2a8a9bb2c45fcc0574a7a379fc5a6	2026-09-02T19:17:21.3629644Z
assets\characters\lena\_source_v40\climb.png	assets	.png	6696	ce83cdb96a8a164c4dc070360ae74133c5d532d2da586653b331e534e38f33a6	2026-08-29T04:26:56.3149672Z
assets\characters\lena\_source_v40\examine.png	assets	.png	6724	f4c3d7c11898e895eeb40bc8601061aaee9f2fd05e405af11b7e9a3700366e32	2026-08-29T04:26:56.3159590Z
assets\characters\lena\_source_v40\idle.png	assets	.png	5401	8e1e486811189d986b6aba7e27df2cb34686cbdb36424461f68e8b90f427c3aa	2026-08-29T04:26:56.3169493Z
assets\characters\lena\_source_v40\interact.png	assets	.png	6344	318996d4cb09407a7c9ac1b8baedfdb31f41c71b0c184d6a272d06981d69f1c2	2026-08-29T04:26:56.3169493Z
assets\characters\lena\_source_v40\jump_fall.png	assets	.png	7426	87f2a7a712d4995b3ece838f0188c36d57110c03af8d7f1cb1356966fa063a50	2026-08-29T04:26:56.3184593Z
assets\characters\lena\_source_v40\jump_rise.png	assets	.png	6897	5d3f941447c58580e1039a3a7c874f43dbb0709a67f91293228b0e3396fa4f0c	2026-08-29T04:26:56.3184593Z
assets\characters\lena\_source_v40\land.png	assets	.png	5578	0e90dfca5d50e69b34db1eb860a6b9b1c2f1781b52250593c8c733a2221beae2	2026-08-29T04:26:56.3184593Z
