station	driver	renderer	samples	p50_ms	p95_ms	p99_ms	max_ms	static_memory_bytes	object_count	node_count	draw_calls	items_2d	primitives	physics_2d_active	audio_latency_s	status	evidence_class
station_01	Windows	gl_compatibility	90	2.2340	3.7160	6.4000	6.5690	44472696	1997	148	49	172	1466	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_02	Windows	gl_compatibility	90	2.1090	4.3550	5.9730	6.5890	44839363	1989	142	46	184	1242	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_03	Windows	gl_compatibility	90	1.7100	3.2210	4.5050	4.5700	44940568	1981	136	47	124	722	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_04	Windows	gl_compatibility	90	1.9640	3.0500	3.4060	4.1050	45315852	1986	137	58	145	1066	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_05	Windows	gl_compatibility	90	2.0560	3.5650	4.1430	4.5080	45690198	1999	139	85	209	1419	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_06	Windows	gl_compatibility	90	1.6180	2.4800	2.9800	3.1030	45926718	2001	138	50	152	1143	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_07	Windows	gl_compatibility	90	1.8690	3.3210	3.9890	4.5110	46336490	2015	146	60	224	1297	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_08	Windows	gl_compatibility	90	1.9230	2.8520	3.2360	4.1300	46529484	2035	156	63	178	1482	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_09	Windows	gl_compatibility	90	2.2030	3.4490	4.5830	4.6090	51109540	2055	155	101	286	1854	2	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_10	Windows	gl_compatibility	90	2.1780	3.9550	4.5720	4.7900	51393525	2055	152	54	137	698	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_11	Windows	gl_compatibility	90	2.0250	3.5840	4.3990	4.4160	51810228	2066	157	65	233	1168	2	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_12	Windows	gl_compatibility	90	1.8600	3.0140	3.6350	4.0120	51888896	2061	154	82	241	2962	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_13	Windows	gl_compatibility	90	2.1070	3.5010	4.0540	4.4330	52079655	2059	156	71	251	2342	2	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_14	Windows	gl_compatibility	90	1.7520	3.4620	3.9600	4.8560	52380227	2061	154	69	204	1984	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_15	Windows	gl_compatibility	90	2.0530	3.9540	4.6390	4.8030	53016918	2076	161	94	350	2396	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_16	Windows	gl_compatibility	90	1.8420	2.9120	3.0560	4.6640	53348950	2077	160	91	317	1966	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_17	Windows	gl_compatibility	90	2.0190	3.4370	4.1600	4.2340	53774951	2059	147	98	280	2179	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_18	Windows	gl_compatibility	90	3.2300	4.6840	5.1840	5.2570	54157065	2063	148	196	366	2594	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_42a	Windows	gl_compatibility	90	2.5350	3.9370	4.8720	5.2190	54512138	2056	142	103	234	1832	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_42b	Windows	gl_compatibility	90	2.0300	3.2430	4.0920	4.3760	55074698	2070	145	101	242	1851	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_42c	Windows	gl_compatibility	90	2.1430	3.4170	3.9790	4.0660	55546039	2072	145	101	241	1942	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_43	Windows	gl_compatibility	90	2.5050	3.6430	5.1240	5.2740	56678481	2082	150	87	640	1737	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
