station	driver	renderer	samples	p50_ms	p95_ms	p99_ms	max_ms	static_memory_bytes	object_count	node_count	draw_calls	items_2d	primitives	physics_2d_active	audio_latency_s	status	evidence_class
station_01	Windows	gl_compatibility	90	2.8990	5.3950	6.2110	6.4190	44511039	2001	148	49	175	1472	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_02	Windows	gl_compatibility	90	1.7080	2.6250	3.1370	3.2900	44873126	1992	142	46	182	1238	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_03	Windows	gl_compatibility	90	1.5780	3.1110	3.5990	5.2850	44976139	1985	136	47	122	718	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_04	Windows	gl_compatibility	90	1.4020	2.2860	2.8040	2.8460	45351427	1990	137	58	143	1062	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_05	Windows	gl_compatibility	90	1.4620	2.2590	2.7160	3.7620	45725673	2002	139	85	206	1413	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_06	Windows	gl_compatibility	90	1.4890	2.8220	3.2430	3.4230	45963257	2004	138	50	152	1143	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_07	Windows	gl_compatibility	90	1.4330	2.5740	3.2270	3.3400	46372305	2018	146	60	221	1291	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_08	Windows	gl_compatibility	90	1.3720	2.9900	3.6830	4.5370	46564635	2038	156	63	173	1472	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_09	Windows	gl_compatibility	90	1.6800	2.9780	3.8900	4.0760	51142799	2058	155	101	284	1850	2	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_10	Windows	gl_compatibility	90	1.9510	3.3760	3.5280	3.5330	51429048	2059	152	54	134	692	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_11	Windows	gl_compatibility	90	1.6230	2.6510	3.3700	4.1240	51843879	2069	157	65	232	1166	2	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_12	Windows	gl_compatibility	90	1.5210	2.4200	3.2450	4.1920	51919995	2063	154	82	238	2956	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_13	Windows	gl_compatibility	90	1.4520	2.7610	3.1500	4.4070	52112754	2062	156	71	252	2344	2	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_14	Windows	gl_compatibility	90	1.7420	3.0300	3.8360	4.8880	52413750	2064	154	69	204	1984	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_15	Windows	gl_compatibility	90	1.7240	3.5680	4.0330	4.4870	53047637	2078	161	94	349	2394	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_16	Windows	gl_compatibility	90	1.4420	2.5400	2.8260	3.0290	53384009	2081	160	91	315	1962	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_17	Windows	gl_compatibility	90	3.4560	5.1170	6.2970	6.7330	53808922	2062	147	98	284	2187	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_18	Windows	gl_compatibility	90	1.9900	3.0070	4.0790	4.2330	54189832	2066	148	196	362	2586	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_42a	Windows	gl_compatibility	90	1.5600	2.6500	3.8090	4.6000	54546081	2060	142	103	229	1822	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_42b	Windows	gl_compatibility	90	1.9270	3.0250	4.1010	4.7760	55105421	2072	145	101	240	1847	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_42c	Windows	gl_compatibility	90	2.2080	3.2920	4.8900	5.0260	55577250	2074	145	101	241	1942	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
station_43	Windows	gl_compatibility	90	2.7490	4.7360	5.7150	5.9060	56714140	2086	150	87	641	1739	1	0.010000	MEASURED-BASELINE	RUNTIME-MEASURED
